"","ID","title","description","streetaddress","city","state","amenityfeatures","type","unclear_address","Year","full.address","latitude","longitude"
"20","OH1205","Robin Hood","","83 Exchange ","Akron","OH","(*)","Bars/Clubs","Google Verified Location",1965,"83 Exchange , Akron, OH",41.0757210408163,-81.5198345102041
"21","NY2808","Bleecker Restaurant","","32 Dove St.","Albany","NY","","Restaurant","Google Verified Location",1970,"32 Dove St., Albany, NY",42.6546513,-73.7618299284612
"22","NY2809","Hudson Arms Tavern","","222 Central Ave.","Albany","NY","","Bars/Clubs","Google Verified Location",1970,"222 Central Ave., Albany, NY",42.6625044,-73.770328
"23","NY2810","Shangra- La","","439 N. Pearl","Albany","NY","(D),(*)","Bars/Clubs","Google Verified Location",1970,"439 N. Pearl, Albany, NY",42.6297658,-73.7660954
"24","NY2943","Bleecker Restaurant","","32 Dove St.","Albany","NY","","Restaurant","Google Verified Location",1969,"32 Dove St., Albany, NY",42.6546513,-73.7618299284612
"25","NY2944","Hudson Arms Tavern","","222 Central Ave.","Albany","NY","","Bars/Clubs","Google Verified Location",1969,"222 Central Ave., Albany, NY",42.6625044,-73.770328
"26","NY2945","Shangra-La","","439 No. Pearl","Albany","NY","(D),(*)","Bars/Clubs","Google Verified Location",1969,"439 No. Pearl, Albany, NY",NA,NA
"27","NY3054","Bleecker Restaurant ","","32 Dove St.","Albany","NY","(*)","Restaurant","Google Verified Location",1968,"32 Dove St., Albany, NY",42.6546513,-73.7618299284612
"28","NY3055","Tavern ","","369 Broadway","Albany","NY","","Bars/Clubs","Google Verified Location",1968,"369 Broadway, Albany, NY",42.647142122449,-73.7500063265306
"29","NY3129","Bleecker Restaurant","","32 Dove St.","Albany","NY","(*)","Restaurant","Google Verified Location",1966,"32 Dove St., Albany, NY",42.6546513,-73.7618299284612
"30","NY3130","Tavern","","396 Broadway","Albany","NY","","Bars/Clubs","Google Verified Location",1966,"396 Broadway, Albany, NY",42.6479222,-73.7509688
"31","NY3191","Bleecker Restaurant","","32 Dove St.","Albany","NY","(*)","Restaurant","Google Verified Location",1965,"32 Dove St., Albany, NY",42.6546513,-73.7618299284612
"32","NY3192","Tavern","","396 Broadway","Albany","NY","","Bars/Clubs","Google Verified Location",1965,"396 Broadway, Albany, NY",42.6479222,-73.7509688
"33","NM084","Height's Cocktail Lounge","","4217 Central S.E.","Albuquerque","NM","(*)","Bars/Clubs","Geocoded",1970,"4217 Central S.E., Albuquerque, NM",NA,NA
"34","NM085","News Room","(side entrance, downstairs)","624 Central Ave. S.W.","Albuquerque","NM","(D),(*)","Bars/Clubs","Geocoded",1970,"624 Central Ave. S.W., Albuquerque, NM",NA,NA
"35","NM086","Okie's","","1720 Central Ave. S.E.","Albuquerque","NM","(M),(YC)","Bars/Clubs","Geocoded",1970,"1720 Central Ave. S.E., Albuquerque, NM",NA,NA
"36","NM087","Scarlett Slipper","Hotel Franciscan","601 Central Ave. N.W.","Albuquerque","NM","","Bars/Clubs,Hotels","Geocoded",1970,"601 Central Ave. N.W., Albuquerque, NM",NA,NA
"37","NM090","Height's Cocktail Lounge","","4217 Central S.E.","Albuquerque","NM","(*)","Bars/Clubs","Geocoded",1969,"4217 Central S.E., Albuquerque, NM",NA,NA
"38","NM091","News Room","(side entrance, downstairs)","624 Central Ave SW","Albuquerque","NM","(D),(*)","Bars/Clubs","Geocoded",1969,"624 Central Ave SW, Albuquerque, NM",35.0744354,-106.7341866
"39","NM092","Okie Joe's","","1720 Central Ave SE","Albuquerque","NM","(M),(YC)","Bars/Clubs","Geocoded",1969,"1720 Central Ave SE, Albuquerque, NM",35.0813391836735,-106.627645510204
"40","NM093","Scarlett Slipper Hotel Franciscan","","601 Central Ave NW","Albuquerque","NM","","Bars/Clubs,Hotels","Geocoded",1969,"601 Central Ave NW, Albuquerque, NM",35.084966,-106.654111
"41","NM096","News Room","(side entrance, downstairs)","624 Central Av SW","Albuquerque","NM","(D),(*)","Bars/Clubs","Geocoded",1968,"624 Central Av SW, Albuquerque, NM",35.0744354,-106.7341866
"42","NM097","Office","","4418 Central Av SE","Albuquerque","NM","(M),(*)","Bars/Clubs","Geocoded",1968,"4418 Central Av SE, Albuquerque, NM",35.0785734897959,-106.595072591837
"43","NM098","Okie Joe's","(collegiate)","1720 Central Av SE","Albuquerque","NM","(M)","Bars/Clubs","Geocoded",1968,"1720 Central Av SE, Albuquerque, NM",35.0813391836735,-106.627645510204
"44","NM101","News Room","(side entrance downstairs)","624 Central Av SW","Albuquerque","NM","(D),(*)","Bars/Clubs","Geocoded",1966,"624 Central Av SW, Albuquerque, NM",35.0744354,-106.7341866
"45","NM102","Office","","4418 Central Av SE","Albuquerque","NM","(M),(*)","Bars/Clubs","Geocoded",1966,"4418 Central Av SE, Albuquerque, NM",35.0785734897959,-106.595072591837
"46","NM103","Okie Joe's","(collegiate)","1720 Central Av SE","Albuquerque","NM","","Bars/Clubs","Geocoded",1966,"1720 Central Av SE, Albuquerque, NM",35.0813391836735,-106.627645510204
"47","NM106","News Room","(side entrance, downstairs)","624 Central Av SW","Albuquerque","NM","(D),(*)","Bars/Clubs","Geocoded",1965,"624 Central Av SW, Albuquerque, NM",35.0744354,-106.7341866
"48","NM107","Office","","4418 Central Av SE","Albuquerque","NM","(M),(*)","Bars/Clubs","Geocoded",1965,"4418 Central Av SE, Albuquerque, NM",35.0785734897959,-106.595072591837
"49","NM108","Okie Joe's ","","1720 Central Av SE","Albuquerque","NM","(M)","Bars/Clubs","Geocoded",1965,"1720 Central Av SE, Albuquerque, NM",35.0813391836735,-106.627645510204
"50","CA5004","Office Lounge","","21 S Garfield","Alhambra","CA","(M)","Bars/Clubs","Google Verified Location",1965,"21 S Garfield, Alhambra, CA",NA,NA
"51","PA001","Midtown ","","60 S 6th St. ","Allentown","PA","(M),(RT)","Bars/Clubs","Google Verified Location",1965,"60 S 6th St. , Allentown, PA",40.6021372855016,-75.469615812262
"52","PA002","Rube's","","9th & Hamilton","Allentown","PA","(M),(*)","Bars/Clubs","Verified Location",1965,"9th & Hamilton, Allentown, PA",40.58369,-75.521428
"53","PA029","Midtown ","","60 S. 6th St. ","Allentown","PA","(M),(RT)","Bars/Clubs","Google Verified Location",1966,"60 S. 6th St. , Allentown, PA",40.6021372855016,-75.469615812262
"54","PA030","Rube's","","9th & Hamilton","Allentown","PA","(M),(*)","Bars/Clubs","Verified Location",1966,"9th & Hamilton, Allentown, PA",40.58369,-75.521428
"55","PA055","Midtown ","","60 S. 6th St. ","Allentown","PA","(M),(RT)","Bars/Clubs","Google Verified Location",1968,"60 S. 6th St. , Allentown, PA",40.6021372855016,-75.469615812262
"56","PA056","Rube's","","9th & Hamilton","Allentown","PA","","Bars/Clubs","Verified Location",1968,"9th & Hamilton, Allentown, PA",40.58369,-75.521428
"57","PA057","Twenty-Three Club ","","23 N 6th St. ","Allentown","PA","(M)","Bars/Clubs","Google Verified Location",1968,"23 N 6th St. , Allentown, PA",40.6036891,-75.4699933
"58","PA081","Midtown ","","50 S 6th St. ","Allentown","PA","(M),(RT)","Bars/Clubs","Google Verified Location",1969,"50 S 6th St. , Allentown, PA",40.602148939581,-75.4696215523309
"59","PA082","Rube's","","9th and Hamilton","Allentown","PA","(*)","Bars/Clubs","Verified Location",1969,"9th and Hamilton, Allentown, PA",NA,NA
"60","PA083","Twenty-Three Club ","","23 N 6th St. ","Allentown","PA","(M)","Bars/Clubs","Google Verified Location",1969,"23 N 6th St. , Allentown, PA",40.6036891,-75.4699933
"61","PA119","Rube's","","9th & Hamilton","Allentown","PA","(*)","Bars/Clubs","Verified Location",1970,"9th & Hamilton, Allentown, PA",40.58369,-75.521428
"62","PA120","Twenty-Three Club ","","23 N. 6th St. ","Allentown","PA","(B),(M)","Bars/Clubs","Google Verified Location",1970,"23 N. 6th St. , Allentown, PA",40.6036891,-75.4699933
"63","S540","Ali Bye","","105 E 6th","Amarillo","TX","","Bars/Clubs","Google Verified Location",1968,"105 E 6th, Amarillo, TX",35.2072126,-101.8336591
"64","S541","Ali Bye","","105 E. 6th St","Amarillo","TX","","Bars/Clubs","Google Verified Location",1969,"105 E. 6th St, Amarillo, TX",NA,NA
"65","S790","Back Door Lounge","","","Amarillo","TX","(*)","Bars/Clubs","Location could not be verified. General city or location coordinates used.",1968,", Amarillo, TX",35.2072185,-101.833824
"66","S791","Back Door Lounge","","408 E 10th St","Amarillo","TX","(*)","Bars/Clubs","Google Verified Location",1969,"408 E 10th St, Amarillo, TX",NA,NA
"67","S792","Back Door Lounge","","408 E. 10th St.","Amarillo","TX","(*)","Bars/Clubs","Google Verified Location",1970,"408 E. 10th St., Amarillo, TX",NA,NA
"68","S6388","Ship's Lounge","","214 E 3rd","Amarillo","TX","(M)","Bars/Clubs","Google Verified Location",1965,"214 E 3rd, Amarillo, TX",35.2141162,-101.8215935
"69","S6389","Ship's Lounge","","214 E. 3rd","Amarillo","TX","(M)","Bars/Clubs","Google Verified Location",1966,"214 E. 3rd, Amarillo, TX",35.2141162,-101.8215935
"70","AK057","Five-One-Five Club","","515 4th Ave.","Anchorage","AK","(M)","Bars/Clubs","Google Verified Location",1970,"515 4th Ave., Anchorage, AK",61.218634,-149.891922857143
"71","AK058","Golden Nugget","","225 E. 5th Ave.","Anchorage","AK","(M),(*)","Bars/Clubs","Google Verified Location",1970,"225 E. 5th Ave., Anchorage, AK",61.217648,-149.880590816327
"72","AK060","Five-One-Five Club","","515 4th Ave.","Anchorage","AK","(M)","Bars/Clubs","Google Verified Location",1969,"515 4th Ave., Anchorage, AK",61.218634,-149.891922857143
"73","AK061","Golden Nugget","","225 E. 5th Ave.","Anchorage","AK","(*)","Bars/Clubs","Google Verified Location",1969,"225 E. 5th Ave., Anchorage, AK",61.217648,-149.880590816327
"74","AK063","Five-One-Five Club","","515 4th Ave.","Anchorage","AK","(M)","Bars/Clubs","Google Verified Location",1968,"515 4th Ave., Anchorage, AK",61.218634,-149.891922857143
"75","AK064","Golden Nugget","","225 E. 5th Ave.","Anchorage","AK","(*)","Bars/Clubs","Google Verified Location",1968,"225 E. 5th Ave., Anchorage, AK",61.217648,-149.880590816327
"76","AK065","Oasis","Seward Hwy.","","Anchorage","AK","","Bars/Clubs","Google Verified Location",1968,", Anchorage, AK",61.2163129,-149.894852
"77","AK066","Five-One-Five Club","","515 4th Ave.","Anchorage","AK","(M)","Bars/Clubs","Google Verified Location",1966,"515 4th Ave., Anchorage, AK",61.218634,-149.891922857143
"78","AK067","Golden Nugget","","225 E. 5th ","Anchorage","AK","(*)","Bars/Clubs","Google Verified Location",1966,"225 E. 5th , Anchorage, AK",NA,NA
"79","AK093","Oasis","Seward Hwy.","","Anchorage","AK","(M)","Bars/Clubs","Location could not be verified. General city or location coordinates used.",1970,", Anchorage, AK",61.2163129,-149.894852
"80","AK094","Oasis","Seward Hwy.","","Anchorage","AK","(M)","Bars/Clubs","Location could not be verified. General city or location coordinates used.",1969,", Anchorage, AK",61.2163129,-149.894852
"81","MI001","Flame ","","115 W. Washington ","Ann Arbor","MI","(R),(M)","Restaurant","Google Verified Location",1965,"115 W. Washington , Ann Arbor, MI",NA,NA
"82","MI002","Town Club ","","210 W. Washington ","Ann Arbor","MI","","Bars/Clubs","Google Verified Location",1965,"210 W. Washington , Ann Arbor, MI",NA,NA
"83","MI021","Flame ","","115 W. Washington ","Ann Arbor","MI","(M)","Bars/Clubs","Google Verified Location",1966,"115 W. Washington , Ann Arbor, MI",NA,NA
"84","MI022","Town Club","","210 W. Washington ","Ann Arbor","MI","(M),(*)","Bars/Clubs","Google Verified Location",1966,"210 W. Washington , Ann Arbor, MI",NA,NA
"85","MI043","Flame ","","115 W. Washington ","Ann Arbor","MI","(M)","Bars/Clubs","Google Verified Location",1968,"115 W. Washington , Ann Arbor, MI",NA,NA
"86","MI044","Town Club ","","210 W. Washington ","Ann Arbor","MI","(*),(M)","Bars/Clubs","Google Verified Location",1968,"210 W. Washington , Ann Arbor, MI",NA,NA
"87","MI046","Flame ","","115 W. Washington ","Ann Arbor","MI","(M)","Bars/Clubs","Google Verified Location",1969,"115 W. Washington , Ann Arbor, MI",NA,NA
"88","MI047","Town Club ","","210 W. Washington ","Ann Arbor","MI","(M),(*)","Bars/Clubs","Google Verified Location",1969,"210 W. Washington , Ann Arbor, MI",NA,NA
"89","MI069","Flame ","","115 W. Washington ","Ann Arbor","MI","(YC),(M)","Bars/Clubs","Google Verified Location",1970,"115 W. Washington , Ann Arbor, MI",NA,NA
"90","MI070","Town Club ","","210 W. Washington ","Ann Arbor","MI","(M)","Bars/Clubs","Google Verified Location",1970,"210 W. Washington , Ann Arbor, MI",NA,NA
"91","MD207","Little Campus","","63 Maryland","Annapolis","MD","(M)","Bars/Clubs","Google Verified Location",1970,"63 Maryland, Annapolis, MD",38.9797615,-76.4897943
"92","MD208","Red Coach","","211 George St.","Annapolis","MD","(M)","Bars/Clubs","Google Verified Location",1970,"211 George St., Annapolis, MD",38.9798945,-76.4889685
"93","MD216","Little Campus","","63 Maryland","Annapolis","MD","(M)","Bars/Clubs","Google Verified Location",1969,"63 Maryland, Annapolis, MD",38.9797615,-76.4897943
"94","MD217","Red Coach","","211 George St.","Annapolis","MD","(M)","Bars/Clubs","Google Verified Location",1969,"211 George St., Annapolis, MD",38.9798945,-76.4889685
"95","MD227","Little Campus","","63 Maryland","Annapolis","MD","(M)","Bars/Clubs","Google Verified Location",1968,"63 Maryland, Annapolis, MD",38.9797615,-76.4897943
"96","MD228","Red Coach","","211 King St.","Annapolis","MD","(M)","Bars/Clubs","Google Verified Location",1968,"211 King St., Annapolis, MD",38.9803976,-76.4874704966338
"97","MD235","Little Campus","","63 Maryland","Annapolis","MD","(M)","Bars/Clubs","Google Verified Location",1966,"63 Maryland, Annapolis, MD",38.9797615,-76.4897943
"98","MD236","Red Coach","","211 King St.","Annapolis","MD","(M)","Bars/Clubs","Google Verified Location",1966,"211 King St., Annapolis, MD",38.9803976,-76.4874704966338
"99","MD243","Little Campus","","63 Maryland","Annapolis","MD","(M)","Bars/Clubs","Google Verified Location",1965,"63 Maryland, Annapolis, MD",38.9797615,-76.4897943
"100","MD244","Red Coach","","211 King George","Annapolis","MD","(M)","Bars/Clubs","Google Verified Location",1965,"211 King George, Annapolis, MD",38.9803976,-76.4874704966338
"101","WI509","Conway Hotel Bar","","128 N. Oneida","Appleton","WI","(M)","Bars/Clubs,Hotel","Google Verified Location",1970,"128 N. Oneida, Appleton, WI",44.2315565,-88.4039094
"102","WI510","The Columns","Inquire locally","","Appleton","WI","","Bars/Clubs","Location could not be verified. General city or location coordinates used.",1970,", Appleton, WI",44.2613967,-88.4069744
"103","WI536","Conway Hotel Bar","","128 N. Oneida","Appleton","WI","(M)","Bars/Clubs,Hotel","Google Verified Location",1969,"128 N. Oneida, Appleton, WI",44.2315565,-88.4039094
"104","CA4753","Mr. O's","","131 E. Huntington Dr","Arcadia","CA","","Bars/Clubs","Google Verified Location",1965,"131 E. Huntington Dr, Arcadia, CA",34.1401832110707,-118.027240448542
"105","NJ403","Blue Note ","","707 Bangs Ave.","Asbury Park","NJ","(*)","Bars/Clubs","Google Verified Location",1970,"707 Bangs Ave., Asbury Park, NJ",40.217285122449,-74.0118145714286
"106","NJ420","Blue Note","","707 Bangs Ave.","Asbury Park","NJ","(*)","Bars/Clubs","Google Verified Location",1969,"707 Bangs Ave., Asbury Park, NJ",40.217285122449,-74.0118145714286
"107","NJ435","Blue Note","","707 Bangs Ave.","Asbury Park","NJ","(*)","Bars/Clubs","Google Verified Location",1968,"707 Bangs Ave., Asbury Park, NJ",40.217285122449,-74.0118145714286
"108","NJ447","Blue Note","","707 Bangs Ave.","Asbury Park","NJ","(*)","Bars/Clubs","Google Verified Location",1966,"707 Bangs Ave., Asbury Park, NJ",40.217285122449,-74.0118145714286
"109","NJ458","Blue Note","","707 Bangs Ave.","Asbury Park","NJ","(*)","Bars/Clubs","Google Verified Location",1965,"707 Bangs Ave., Asbury Park, NJ",40.217285122449,-74.0118145714286
"110","NJ580","M & D Bar","","Off Main St.","Asbury Park","NJ","(YC),(M)","Bars/Clubs","Location could not be verified. General city or location coordinates used.",1970,"Off Main St., Asbury Park, NJ",NA,NA
"111","NJ627","Shore Bar","","Off Main St.","Asbury Park","NJ","","Bars/Clubs","Location could not be verified. General city or location coordinates used.",1965,"Off Main St., Asbury Park, NJ",NA,NA
"112","NJ628","Shore Bar","","Off Main St.","Asbury Park","NJ","","Bars/Clubs","Location could not be verified. General city or location coordinates used.",1968,"Off Main St., Asbury Park, NJ",NA,NA
"113","NJ629","Shore Bar","","Off Main St.","Asbury Park","NJ","","Bars/Clubs","Location could not be verified. General city or location coordinates used.",1970,"Off Main St., Asbury Park, NJ",NA,NA
"114","NJ631","Shore Bar","","Off Main St.","Asbury Park","NJ","","Bars/Clubs","Location could not be verified. General city or location coordinates used.",1966,"Off Main St., Asbury Park, NJ",NA,NA
"115","NJ632","Shore Bar","","Off Main St.","Asbury Park","NJ","","Bars/Clubs","Location could not be verified. General city or location coordinates used.",1969,"Off Main St., Asbury Park, NJ",NA,NA
"116","CO575","Woodlander","","428 E. Hyman","Aspen","CO","(M)","Bars/Clubs","Google Verified Location",1970,"428 E. Hyman, Aspen, CO",NA,NA
"117","CO596","Woodlander","","428 E. Hyman Ave.","Aspen","CO","(M)","Bars/Clubs","Google Verified Location",1969,"428 E. Hyman Ave., Aspen, CO",39.1890826960941,-106.819357062894
"118","CO618","Woodlander","","428 E Hyman Av.","Aspen","CO","(M)","Bars/Clubs","Google Verified Location",1968,"428 E Hyman Av., Aspen, CO",39.1890826960941,-106.819357062894
"119","S1049","Blue Room","","86 Cain NW","Atlanta","GA","(*),(PE)","Bars/Clubs","Google Verified Location",1966,"86 Cain NW, Atlanta, GA",NA,NA
"120","S1050","Blue Room","","86 Cain NW","Atlanta","GA","(RT),(*)","Bars/Clubs","Google Verified Location",1968,"86 Cain NW, Atlanta, GA",NA,NA
"121","S1051","Blue Room","","86 Cain NW","Atlanta","GA","(*),(RT)","Bars/Clubs","Google Verified Location",1969,"86 Cain NW, Atlanta, GA",NA,NA
"122","S1052","Blue Room","","86 Cain N.W.","Atlanta","GA","(RT),(*)","Bars/Clubs","Google Verified Location",1970,"86 Cain N.W., Atlanta, GA",NA,NA
"123","S1396","Cameo Lounge","","182 Spring NW","Atlanta","GA","","Bars/Clubs","Google Verified Location",1965,"182 Spring NW, Atlanta, GA",33.7579392666667,-84.3914663555556
"124","S1397","Cameo Lounge","","182 Spring NW","Atlanta","GA","(RT),(PE)","Bars/Clubs","Google Verified Location",1966,"182 Spring NW, Atlanta, GA",33.7579392666667,-84.3914663555556
"125","S1398","Cameo Lounge","","182 Spring NW","Atlanta","GA","(RT)","Bars/Clubs","Google Verified Location",1968,"182 Spring NW, Atlanta, GA",33.7579392666667,-84.3914663555556
"126","S1399","Cameo Lounge","","182 Spring NW","Atlanta","GA","(RT),(*)","Bars/Clubs","Google Verified Location",1969,"182 Spring NW, Atlanta, GA",33.7579392666667,-84.3914663555556
"127","S1400","Cameo Lounge","Will be moving in '69 about one blk away
","182 Spring N.W.","Atlanta","GA","(RT),(*)","Bars/Clubs","Google Verified Location",1970,"182 Spring N.W., Atlanta, GA",NA,NA
"128","S2038","Cove","","586 Worcester","Atlanta","GA","(*)","Bars/Clubs","Google Verified Location",1970,"586 Worcester, Atlanta, GA",33.7912237717859,-84.3676552658
"129","S2422","Dupree","","715 Ponce de Leon","Atlanta","GA","(M),(RT),(G)","Bars/Clubs","Google Verified Location",1970,"715 Ponce de Leon, Atlanta, GA",NA,NA
"130","S2423","Dupree Lounge","","715 Ponce de Leon","Atlanta","GA","(G),(M)","Bars/Clubs","Google Verified Location",1968,"715 Ponce de Leon, Atlanta, GA",NA,NA
"131","S3327","Hank & Jerry's","","1006 Peachtree","Atlanta","GA","(M)","Bars/Clubs","Google Verified Location",1965,"1006 Peachtree, Atlanta, GA",33.7818562244898,-84.3840962244898
"132","S3778","Joy Lounge","","557 Ponce de Leon","Atlanta","GA","","Bars/Clubs","Google Verified Location",1968,"557 Ponce de Leon, Atlanta, GA",NA,NA
"133","S3779","Joy Lounge","","557 Ponce de Leon","Atlanta","GA","(YC),(*)","Bars/Clubs","Google Verified Location",1969,"557 Ponce de Leon, Atlanta, GA",NA,NA
"134","S3780","Joy Lounge","","557 Ponce de Leon","Atlanta","GA","(YC),(D),(*)","Bars/Clubs","Google Verified Location",1970,"557 Ponce de Leon, Atlanta, GA",NA,NA
"135","S4015","La Cuisine","inquire locally","","Atlanta","GA","(D),(C)","Bars/Clubs","Location could not be verified. General city or location coordinates used.",1969,", Atlanta, GA",33.7489924,-84.3902644
"136","S4016","La Cuisine","","468 Mitchell","Atlanta","GA","(S),(RT),(B)","Bars/Clubs","Google Verified Location",1970,"468 Mitchell, Atlanta, GA",33.7538028540702,-84.4038456497361
"137","S4410","Maid's Quarters","","","Atlanta","GA","(M),(R)","Restaurant","Verified Location",1969,", Atlanta, GA",33.7489924,-84.3902644
"138","S4454","Mama Mia's","","1129 Peachtree","Atlanta","GA","(*)","Bars/Clubs","Google Verified Location",1965,"1129 Peachtree, Atlanta, GA",33.7852766087046,-84.3828115028353
"139","S4815","Mrs P's","Ponce de Leon Hotel
","551 Ponce de Leon NE","Atlanta","GA","(*)","Bars/Clubs,Hotel","Google Verified Location",1965,"551 Ponce de Leon NE, Atlanta, GA",NA,NA
"140","S4816","Mrs P's","(casual dress ok)","551 Ponce de Leon NE","Atlanta","GA","(*)","Bars/Clubs","Google Verified Location",1966,"551 Ponce de Leon NE, Atlanta, GA",NA,NA
"141","S4817","Mrs P's","Ponce De Leon Hotel
","551 Ponce de Leon","Atlanta","GA","(*)","Bars/Clubs,Hotel","Google Verified Location",1968,"551 Ponce de Leon, Atlanta, GA",NA,NA
"142","S4819","Mrs. P's","Ponce de Leon Hotel
","551 Ponce de Leon","Atlanta","GA","(YC),(*)","Bars/Clubs,Hotel","Google Verified Location",1970,"551 Ponce de Leon, Atlanta, GA",NA,NA
"143","S4836","Mrs.P's ","Ponce De Leon Hotel
","551 Ponce de Leon","Atlanta","GA","(YC),(*)","Bars/Clubs,Hotel","Google Verified Location",1969,"551 Ponce de Leon, Atlanta, GA",NA,NA
"144","S5457","Petite Lounge","Dinkler Plaza Hotel","","Atlanta","GA","(M)","Bars/Clubs,Hotel","Verified Location",1965,", Atlanta, GA",33.7489924,-84.3902644
"145","S5458","Petite Lounge","Dinkler Plaza Hotel","","Atlanta","GA","(M),(PE)","Bars/Clubs,Hotel","Verified Location",1966,", Atlanta, GA",33.7489924,-84.3902644
"146","S5459","Petite Lounge","Dinkler Plaza Hotel","","Atlanta","GA","(M),(PE)","Bars/Clubs,Hotel","Verified Location",1968,", Atlanta, GA",33.7489924,-84.3902644
"147","S5460","Petite Lounge","Dinkler Plaza Hotel","","Atlanta","GA","(M),(PE)","Bars/Clubs,Hotel","Verified Location",1969,", Atlanta, GA",33.7489924,-84.3902644
"148","S5461","Petite Lounge","Dinkler-Plaza Hotel","Forsythe & Luckie","Atlanta","GA","(M),(PE)","Bars/Clubs,Hotel","Verified Location",1970,"Forsythe & Luckie, Atlanta, GA",NA,NA
"149","S5479","Piccolo","","1129 Peachtree","Atlanta","GA","(*),(PE)","Bars/Clubs","Google Verified Location",1966,"1129 Peachtree, Atlanta, GA",33.7852766087046,-84.3828115028353
"150","S5480","Piccolo","","1129 Peachtree","Atlanta","GA","(*)","Bars/Clubs","Google Verified Location",1968,"1129 Peachtree, Atlanta, GA",33.7852766087046,-84.3828115028353
"151","S5482","Piccolo Lounge","","1129 Peachtree St","Atlanta","GA","(*)","Bars/Clubs","Google Verified Location",1969,"1129 Peachtree St, Atlanta, GA",33.7852766087046,-84.3828115028353
"152","S5483","Piccolo Lounge","","1129 Peachtree St.","Atlanta","GA","(G)","Bars/Clubs","Google Verified Location",1970,"1129 Peachtree St., Atlanta, GA",33.7852766087046,-84.3828115028353
"153","S5683","Prince George","","114 6th St. NE","Atlanta","GA","(*)","Bars/Clubs","Google Verified Location",1965,"114 6th St. NE, Atlanta, GA",33.7774209,-84.3835423
"154","S5684","Prince George Inn","","114 6th St. N.E.","Atlanta","GA","(R)","Restaurant","Google Verified Location",1970,"114 6th St. N.E., Atlanta, GA",NA,NA
"155","S5704","Pringe George Inn","","114 6th St NE","Atlanta","GA","(R),(M)","Restaurant","Google Verified Location",1969,"114 6th St NE, Atlanta, GA",33.7774209,-84.3835423
