"","ID","title","description","streetaddress","city","state","amenityfeatures","type","unclear_address","Year","cruisy"
"18","3826","M&M Club ",NA,"608 Sunrise Hwy. ","Babylon","NY","(L)","Bars/Clubs",NA,1986,"FALSE"
"19","3827","Parlee Entertainment Magazine ","(Publication) ","P.O. Box 430, Babylon 11702","Babylon","NY",NA,"Publication","checked",1986,"FALSE"
"20","3828","Ruthie's Place ","(Some M, L) ","24 Ackerson Blvd. ","Bay Shore","NY","(M),(L),(PT)","Bars/Clubs",NA,1986,"FALSE"
"21","3829","Regent Theatre","public parking lot",NA,"Bay Shore","NY","Cruisy Area","Cruising Areas,Theatre","checked",1986,"TRUE"
"22","3830","Shore House","Just over the Bayville Bridge",NA,"Bayville","NY","(OC)","Bars/Clubs","checked",1986,"FALSE"
"23","3831","Pal Joey's ","(Cruisy) ","2475 Jerusalem Ave. ","Bellmore","NY","(YC),(PT),(*)","Bars/Clubs,Cruising Areas",NA,1986,"TRUE"
"24","3832","Esperit ","(Sun. afternoons) Ramada Inn,","65 Front St.","Binghamton","NY","(M)","Bars/Clubs",NA,1986,"FALSE"
"25","3833","Kay's Books",NA,"81 State St. ","Binghamton","NY",NA,"Book Store",NA,1986,"FALSE"
"26","3834","Kennedy's Corner ",NA,"161 Court St.","Binghamton","NY","(M),(R)","Restaurant",NA,1986,"FALSE"
"27","3835","Le Bar","Holiday Inn","8 Hawley St.","Binghamton","NY","(M),(WE)","Bars/Clubs",NA,1986,"FALSE"
"28","3836","Lenny's ","(Some YC, L) (Disco) ","201 State St. ","Binghamton","NY","(*),(YC),(L),(D)","Bars/Clubs",NA,1986,"FALSE"
"29","3837","Mr. Bill's Adult Books",NA,"140 Washington St. ","Binghamton","NY","(M)","Book Store,Erotic Shop",NA,1986,"FALSE"
"30","3838","Squiggy's ","(Some L) ","34 Chenango St.","Binghamton","NY","(L)","Bars/Clubs",NA,1986,"FALSE"
"31","3839","Wizards ","(Disco) (Some L) (Snacks) ","115 Montgomery St. ","Binghamton","NY","(D),(L),(PT),(V),(*)","Bars/Clubs,Theatre",NA,1986,"FALSE"
"32","3840","Cole Park",NA,NA,"Binghamton","NY","Cruisy Area","Cruising Areas","checked",1986,"TRUE"
"33","3841","Greyhound Depot ",NA,NA,"Binghamton","NY","Cruisy Area","Cruising Areas","checked",1986,"TRUE"
"34","3842","'Lollypop Heaven' ","Rest Stop on Rt. 81N ",NA,"Binghamton","NY","Cruisy Area","Cruising Areas","checked",1986,"TRUE"
"35","3843","Allen ",NA,"16 Allen ","Buffalo","NY","(R),(YC)","Restaurant",NA,1986,"FALSE"
"36","3844","City Lights ","(Disco) (Cl. Mon. & Tue.) ","727 Main St. ","Buffalo","NY","(*),(YC),(D)","Bars/Clubs",NA,1986,"FALSE"
"37","3845","Crossroads ","(Macho) (Disco) ","563 Delaware ","Buffalo","NY","(*),(YC),(D)","Bars/Clubs",NA,1986,"FALSE"
"38","3846","Dominique ",NA,"20 Allen St. ","Buffalo","NY","(OC),(D),(*)","Bars/Clubs",NA,1986,"FALSE"
"39","3847","Emma Feminist Book Store",NA,"168 Elmwood Ave.","Buffalo","NY",NA,"Book Store",NA,1986,"FALSE"
"40","3848","Gay & Lesbian Comm. Center ","(716) 886-1274","647 W. Delavan ","Buffalo","NY",NA,"Community Center/ Support Group",NA,1986,"FALSE"
"41","3849","Greenfield Street",NA,"25 Greenfield St.","Buffalo","NY","(M),(R)","Restaurant",NA,1986,"FALSE"
"42","3850","M.C. Compton's ","(Disco) ","1239 Niagara St. ","Buffalo","NY","(L),(D),(*)","Bars/Clubs",NA,1986,"FALSE"
"43","3851","New Morgan Turkish Baths",NA,"655 Main St. ","Buffalo","NY","(IGHC),(*)","Bathhouses",NA,1986,"FALSE"
"44","3852","Rosy's Rum & Rations","(Some L) ","486 Elmwood Ave.","Buffalo","NY","(M),(L),(PT)","Bars/Clubs",NA,1986,"FALSE"
"45","3853","Talk Leaves","(Books, etc.) ","3144 Main St.","Buffalo","NY",NA,"Book Store",NA,1986,"FALSE"
"46","3854","Villa Capri ","(Disco) (Some YC, W, SM) ","926 Main St. ","Buffalo","NY","(D),(YC),(W),(SM),(*)","Bars/Clubs",NA,1986,"FALSE"
"47","3855","Allentown ","area (Elmwood & Allen) ",NA,"Buffalo","NY","Cruisy Area","Cruising Areas","checked",1986,"TRUE"
"48","3856","Hitch-hikers ","on Elmwood betw. North & Bryant",NA,"Buffalo","NY","Cruisy Area","Cruising Areas","checked",1986,"TRUE"
"49","3857","La Salle Park",NA,NA,"Buffalo","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1986,"TRUE"
"50","3858","Statler Hotel ","T-Room",NA,"Buffalo","NY","Cruisy Area","Cruising Areas,Hotel","checked",1986,"TRUE"
"51","3859","State U. of N.Y. at Buffalo","Norton Union T-Room",NA,"Buffalo","NY","Cruisy Area","Cruising Areas","checked",1986,"TRUE"
"52","3860","U. of Buffalo ","Harriman Hall basement T-Room",NA,"Buffalo","NY","Cruisy Area","Cruising Areas","checked",1986,"TRUE"
"53","3861","U. of Buffalo ","Crosby Hall Basement T-Rooms",NA,"Buffalo","NY","Cruisy Area","Cruising Areas","checked",1986,"TRUE"
"54","3862","Washington St. & Oak ","nr. Bus Depot (Hustlers) ",NA,"Buffalo","NY","Cruisy Area","Cruising Areas","checked",1986,"TRUE"
"55","3863","Woodlawn Beach",NA,NA,"Buffalo","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1986,"TRUE"
"56","3864","'Rest Stop' ","on I-87 N., bet. exits 9 & 10",NA,"Clifton Park","NY","Cruisy Area","Cruising Areas","checked",1986,"TRUE"
"57","3865","Adult Book Store",NA,NA,"Corning","NY",NA,"Book Store,Erotic Shop","checked",1986,"FALSE"
"58","3866","'Rest Stop' ","on I-684 N. nr. Putnam-Winchester County line",NA,"Crofton Falls","NY","Cruisy Area","Cruising Areas","checked",1986,"TRUE"
"59","3867","Starz","(Disco) ","836 Grand Blvd. ","Deer Park","NY","(S),(D),(*)","Bars/Clubs",NA,1986,"FALSE"
"60","3868","Thunders ","(Disco) (Some L) ","2090 Jericho Tpke. ","E. Northport","NY","(D),(L),(S),(*)","Bars/Clubs",NA,1986,"FALSE"
"61","3869","Adult Book Store",NA,"121 Lake St.","Elmira","NY",NA,"Book Store,Erotic Shop",NA,1986,"FALSE"
"62","3870","Adult Toy Land",NA,"123 Lake St.","Elmira","NY",NA,"Erotic Shop",NA,1986,"FALSE"
"63","3871","Mary's ","(Sleazy) ","112 Lake St. ","Elmira","NY","(L),(RT)","Bars/Clubs",NA,1986,"FALSE"
"64","3872","The David",NA,"511 Railroad Ave. ","Elmira","NY","(YC),(D),(*)","Bars/Clubs",NA,1986,"FALSE"
"65","3873","Ahsea Guest House","(516) KY7-6230 ","P.O. Box 128, Cherry Grove 11782","Fire Island","NY","(H)","Hotel","checked",1986,"FALSE"
"66","3874","Amelia's ","(Snacks) (Cherry Grove) ",NA,"Fire Island","NY","(R)","Restaurant","checked",1986,"FALSE"
"67","3875","Beach Hotel ","(516) 597-6600 Cherry Grove",NA,"Fire Island","NY","(H)","Hotel","checked",1986,"FALSE"
"68","3876","Belvedere Hotel ","(516) 597-6448 Cherry Grove",NA,"Fire Island","NY","(H)","Hotel","checked",1986,"FALSE"
"69","3877","Blue Whale Bar","(Disco T-D 4:30-7:30*) Boatel Motel",NA,"Fire Island","NY","(*)","Bars/Clubs","checked",1986,"FALSE"
"70","3878","Boatel Motel ","(H-Scruffy) The Pines (516) 597-6500",NA,"Fire Island","NY","(H)","Hotel","checked",1986,"FALSE"
"71","3879","Buck 'n' Beau Bed & Board","(Reservations req.) (The Pines) (516) 597-6833 or (212) 243-1468","161 Ocean Walk","Fire Island","NY","(H),(R)","Hotel,Restaurant",NA,1986,"FALSE"
"72","3880","Carousel Guest House","(516) 597-6612","P.O. Box #1, Cherry Grove 11782","Fire Island","NY","(H)","Hotel","checked",1986,"FALSE"
"73","3881","Cherry Grove Inn","Cherry Grove (516) 597-6162",NA,"Fire Island","NY","(H)","Hotel","checked",1986,"FALSE"
"74","3882","Crew's Quarters ","(Some OC) (Cruisy) (4pm-4am) The Pines","36 Fire Island Blvd.","Fire Island","NY","(OC),(*)","Bars/Clubs,Cruising Areas",NA,1986,"TRUE"
"75","3883","Dune Point ","(Apts) (The Grove) (516) 597-6261","Box 78, Sayville 11782","Fire Island","NY","(H),(*)","Hotel","checked",1986,"FALSE"
"76","3884","Ice Palace ","(Disco) (Some L, M) (WE*) Cherry Grove",NA,"Fire Island","NY","(D),(S),(L),(M),(WE),(*)","Bars/Clubs","checked",1986,"FALSE"
"77","3885","Monster","(Disco) Cherry Grove",NA,"Fire Island","NY","(YC),(D),(R),(*)","Restaurant,Bars/Clubs","checked",1986,"FALSE"
"78","3886","Pine Pavillion ","(Disco) ",NA,"Fire Island","NY","(*),(D),(R)","Bars/Clubs,Restaurant","checked",1986,"FALSE"
"79","3887","Top of the Bay","Cherry Grove",NA,"Fire Island","NY","(R),(OC),(*)","Restaurant","checked",1986,"FALSE"
"80","3888","New Lining ","(Disco) (Some L) (WE*) ","175 Cherry Lane","Floral Park","NY","(D),(S),(L),(WE),(*)","Bars/Clubs",NA,1986,"FALSE"
"81","3889","Lazy Creek Ranch ","Off Rte. 11",NA,"Hermon","NY","(H)","Hotel","checked",1986,"FALSE"
"82","3890","Prime Time","(Disco) (Cl. Mon. & Tues.) (WE*) Rt. 9W, 3 mi. N. of Mid-Hudson Bridge",NA,"Highland","NY","(D),(WE),(*)","Bars/Clubs","checked",1986,"FALSE"
"83","3891","Connection ","(Publication) ","P.O. Box 601, Huntington 11743","Huntington","NY",NA,"Publication","checked",1986,"FALSE"
"84","3892","Womankind Book, Inc. ",NA,"10 W. Carver St. ","Huntington","NY",NA,"Book Store",NA,1986,"FALSE"
"85","3893","Cheeks ","(Disco) ","2000 Long Beach Rd. ","Island Park","NY","(D),(V),(*)","Bars/Clubs,Theatre",NA,1986,"FALSE"
"86","3894","Common Ground ","(Disco) ","132 W. State St. ","Ithaca","NY","(*),(YC),(D),(E)","Bars/Clubs",NA,1986,"FALSE"
"87","3895","East Hills Depot","(Very M, YC) ","1876 Judd Falls Rd. ","Ithaca","NY","(M),(YC),(R)","Restaurant",NA,1986,"FALSE"
"88","3896","Cornell U. ","Willard Straight Hall (1st floor & downstairs) ",NA,"Ithaca","NY","Cruisy Area","Cruising Areas","checked",1986,"TRUE"
"89","3897","Cornell U. ","Olin Library T-Rooms",NA,"Ithaca","NY","Cruisy Area","Cruising Areas","checked",1986,"TRUE"
"90","3898","Stewart Park","T-Rooms W. of Pavilion ",NA,"Ithaca","NY","Cruisy Area","Cruising Areas","checked",1986,"TRUE"
"91","3899","15 E. 5th","('R&R') (Disco) (Some L) ","15 E. 5th","Jamestown","NY","(R),(D),(L)","Restaurant,Bars/Clubs",NA,1986,"FALSE"
"92","3900","Knight's Spot","(Some L, YC) (WE*) ","201 Windsor","Jamestown","NY","(L),(YC),(D),(WE),(*)","Bars/Clubs",NA,1986,"FALSE"
"93","3901","Mother's ",NA,"100 Harrison","Jamestown","NY","(M)","Bars/Clubs",NA,1986,"FALSE"
"94","3902","Chautiaqua Mall",NA,NA,"Jamestown","NY","Cruisy Area","Cruising Areas","checked",1986,"TRUE"
"95","3903","Mr. Chip","2 mi. S. of Lake George Village on Rt. 9, betw. Northway exits 20 & 21",NA,"Lake George","NY","(D),(*)","Bars/Clubs","checked",1986,"FALSE"
"96","3904","Area behind Mr. Chips",NA,NA,"Lake George","NY","Cruisy Area","Cruising Areas","checked",1986,"TRUE"
"97","3905","'Rest Stop' ","on I-87 nr. exit 28",NA,"Lake George","NY","Cruisy Area","Cruising Areas","checked",1986,"TRUE"
"98","3906","Artists Cafe",NA,"1 Main St.","Lake Placid","NY","(M),(R)","Restaurant",NA,1986,"FALSE"
"99","3907","Mud Puddles","(Disco) ","3 School St.","Lake Placid","NY","(M),(YC),(D),(*)","Bars/Clubs",NA,1986,"FALSE"
"100","3908","Copperas Pond ","Trail starts 5 mi. N.E. of jct. of Rts. 86 & 73, off Hwy. 86 (East side) 'BA' woods & ponds",NA,"Lake Placid","NY","Cruisy Area,(*)","Cruising Areas","checked",1986,"TRUE"
"101","3909","Kiss",NA,"60 Lake Shore Rd.","Lake Ronkonkoma","NY","(L)","Bars/Clubs",NA,1986,"FALSE"
"102","3910","Adult Book Store",NA,NA,"Middletown","NY",NA,"Book Store,Erotic Shop","checked",1986,"FALSE"
"103","3911","The Rose","(Disco) (Cl. Mon.) (L-Tue., Men-Wed.) ","170 Silverlake Rd.","Middletown","NY","(D),(L)","Bars/Clubs",NA,1986,"FALSE"
"104","3912","Rumors",NA,"480 Main St.","New Rochelle","NY","(L),(S),(PT)","Bars/Clubs",NA,1986,"FALSE"
"105","3913","Zipperz","(Disco) ","480 Main St. ","New Rochelle","NY","(YC),(D),(*)","Bars/Clubs",NA,1986,"FALSE"
"106","3914","A Different Light","(Books) ","548 Hudson St.","New York","NY",NA,"Book Store",NA,1986,"FALSE"
"107","3915","Alex in Wonderland","(Disco) ","28 10th Ave.","New York","NY","(D),(*)","Bars/Clubs",NA,1986,"FALSE"
"108","3916","Anvil ","(Disco) ","500 W. 14th Ave.","New York","NY","(P),(D),(RT),(AYOR),(F&S)","Bars/Clubs",NA,1986,"FALSE"
"109","3917","Ass Trick","(Downstairs at Alex) ","30 10th Ave. ","New York","NY","(SM)","Bars/Clubs",NA,1986,"FALSE"
"110","3918","Badlands ","(Some W, SM) ","388 West St. ","New York","NY","(W),(SM)","Bars/Clubs",NA,1986,"FALSE"
"111","3919","Barbary Coast ","(Fun neighborhood bar) ","64 7th Ave. ","New York","NY",NA,"Bars/Clubs",NA,1986,"FALSE"
"112","3920","Big Dish",NA,"282 W. 12th St.","New York","NY","(R)","Restaurant",NA,1986,"FALSE"
"113","3921","Big Wok","(Chinese R) ","753 Washington St.","New York","NY","(M),(R),(*)","Restaurant",NA,1986,"FALSE"
"114","3922","Billy's ",NA,"232 8th Ave.","New York","NY",NA,"Bars/Clubs",NA,1986,"FALSE"
"115","3923","Blue Fox",NA,"131 8th Ave.","New York","NY","(R),(*)","Restaurant",NA,1986,"FALSE"
"116","3924","Boots & Saddle","(Some W, SM) ","76 Christopher St.","New York","NY","(W),(SM),(*)","Bars/Clubs",NA,1986,"FALSE"
"117","3925","Boybar",NA,"15 1/2 St. Marks Pl.","New York","NY",NA,"Bars/Clubs",NA,1986,"FALSE"
"118","3926","Cafe Society ","(Discobar) ","43 E. 20th St.","New York","NY",NA,"Bars/Clubs",NA,1986,"FALSE"
"119","3927","Carr's ",NA,"204 W. 10th St.","New York","NY","(OC)","Bars/Clubs",NA,1986,"FALSE"
"120","3928","Casa Paco ","(Mexican R) ","330 Bleecker St. ","New York","NY","(M),(R)","Restaurant",NA,1986,"FALSE"
"121","3929","Centre Bar",NA,"29 St. Mark's Pl. ","New York","NY",NA,"Bars/Clubs",NA,1986,"FALSE"
"122","3930","Chelsea Big Wok","(Chinese) ","207 10th Ave.","New York","NY","(M),(R)","Restaurant",NA,1986,"FALSE"
"123","3931","Christopher St. Book Shop",NA,"500 Hudson St. ","New York","NY","(*),(F&S)","Book Store",NA,1986,"FALSE"
"124","3932","Christopher's ",NA,"115 Christopher St.","New York","NY","(E),(R)","Restaurant",NA,1986,"FALSE"
"125","3933","Clyde's ",NA,"240 Bleecker ","New York","NY","(R)","Restaurant",NA,1986,"FALSE"
"126","3934","Cubby Hole ",NA,"438 Hudson","New York","NY","(L)","Bars/Clubs",NA,1986,"FALSE"
"127","3935","Daddy's ","(Sun. brunch) ","3rd Ave. ","New York","NY",NA,"Bars/Clubs",NA,1986,"FALSE"
"128","3936","Dignity ","(Church) (212) 869-3050",NA,"New York","NY",NA,"Religious Institutions","checked",1986,"FALSE"
"129","3937","Duplex ","(Cabaret) ","55 Grove St.","New York","NY","(E),(*)","Bars/Clubs",NA,1986,"FALSE"
"130","3938","Eagle's Nest ",NA,"21st St. ","New York","NY","(SM),(*)","Bars/Clubs",NA,1986,"FALSE"
"131","3939","Fedora's ",NA,"239 W. 4th St.","New York","NY","(M),(R)","Restaurant",NA,1986,"FALSE"
"132","3940","Five Oaks",NA,"49 Grove St.","New York","NY","(M),(R),(E)","Restaurant",NA,1986,"FALSE"
"133","3941","Gay Switchboard","(212) 777-1800",NA,"New York","NY",NA,"Hotline","checked",1986,"FALSE"
"134","3942","Gayellow Pages","(Publication) ","P.O. Box 292, Village Stn., N.Y.C. 10014","New York","NY",NA,"Publication","checked",1986,"FALSE"
"135","3943","Golden Boy","(Models) ","(212) 580-9050","New York","NY",NA,"Escort Service","checked",1986,"FALSE"
"136","3944","Incentra Village House","(Guest house) ","32 8th Ave.","New York","NY","(*),(H)","Hotel",NA,1986,"FALSE"
"137","3945","Inner Circle ","(Cabaret) ","13 Jane St.","New York","NY",NA,"Bars/Clubs",NA,1986,"FALSE"
"138","3946","J's ","(Some W, SM) ","675 Hudson St.","New York","NY","(W),(SM),(F&S)","Bars/Clubs",NA,1986,"FALSE"
"139","3947","Jan Wallman's ",NA,"28 Cornelia St. ","New York","NY","(R),(E)","Restaurant",NA,1986,"FALSE"
"140","3948","Jeanne's Patio ",NA,"39 Greenwich ","New York","NY","(R)","Restaurant",NA,1986,"FALSE"
"141","3949","Jewel Theatre",NA,"100 3rd Ave. ","New York","NY",NA,"Theatre",NA,1986,"FALSE"
"142","3950","Julius ","(Snacks, cruisy days) ","159 W. 10th St.","New York","NY","(*)","Bars/Clubs,Cruising Areas",NA,1986,"TRUE"
"143","3951","Keller's","(WE*) (B&W) ","384 West St. ","New York","NY","(WE),(*),(B),(W)","Bars/Clubs",NA,1986,"FALSE"
"144","3952","La Grande Corniche ","(at Uncle Charlie's) ","180 Christopher St.","New York","NY","(PE),(M),(R)","Restaurant",NA,1986,"FALSE"
"145","3953","Last Resort ",NA,"153 1st Ave.","New York","NY",NA,"Bars/Clubs",NA,1986,"FALSE"
"146","3954","Leather Man ","(Leather) ","111 Christopher St.","New York","NY",NA,"Business,Erotic Shop",NA,1986,"FALSE"
"147","3955","Lesbian Switchboard","(212) 741-2610",NA,"New York","NY",NA,"Hotline","checked",1986,"FALSE"
"148","3956","Limelight ","(Disco) (Sun. & Thurs.) ","47 W. 20th St. ","New York","NY","(D)","Bars/Clubs",NA,1986,"FALSE"
"149","3957","Man Hole","(SM, W) (AH Mon.-Thu.) ","28 9th Ave.","New York","NY","(P),(SM),(W),(AH)","Bars/Clubs",NA,1986,"FALSE"
"150","3958","Marie's Crisis ","(Downstairs) (Bingo) ","59 Grove St. ","New York","NY","(E)","Bars/Clubs",NA,1986,"FALSE"
"151","3959","M.C.C. ",NA,"26 9th Ave.","New York","NY","(MCC)","Religious Institutions",NA,1986,"FALSE"
"152","3960","Mineshaft ","(Upstairs) (F&S-2 floors) ","835 Washington St.","New York","NY","(*),(P),(SM),(W),(F&S)","Bars/Clubs",NA,1986,"FALSE"
"153","3961","Monster ","(Disco) (Downstairs) ","114 Grove St. ","New York","NY","(D),(R),(*)","Restaurant,Bars/Clubs",NA,1986,"FALSE"
"154","3962","Network ","(Cabaret) (Many L) ","579 Ave. of the Americas","New York","NY","(R),(D),(L),(*)","Restaurant,Bars/Clubs",NA,1986,"FALSE"
"155","3963","New St. Mark's Baths",NA,"6 St. Mark's Place","New York","NY","(*),(YC)","Bathhouses",NA,1986,"FALSE"
"156","3964","New York Wrestling Club","(Action athletes) (212) 477-4227","59 W. 10th St. ","New York","NY",NA,"Gym",NA,1986,"FALSE"
"157","3965","Ninth Circle ","(Cruisy) (2 floors) ","139 W. 10th St. ","New York","NY","(*),(YC)","Bars/Clubs,Cruising Areas",NA,1986,"TRUE"
"158","3966","One Potato ","(Sun. brunch) ","518 Hudson St. ","New York","NY","(R),(*)","Restaurant",NA,1986,"FALSE"
"159","3967","Oscar Wilde Memorial Book Store",NA,"15 Christopher St.","New York","NY","(*)","Book Store",NA,1986,"FALSE"
"160","3968","Page Six","(Disco) (3 floors) ","220 W. Houston ","New York","NY","(*),(P),(AH),(D)","Bars/Clubs",NA,1986,"FALSE"
"161","3969","Paula's ","(Many L) ","64 Greenwich Ave.","New York","NY","(M),(L),(PT)","Bars/Clubs",NA,1986,"FALSE"
"162","3970","Peter Rabbit ","(Disco) ","305 W. 10th St.","New York","NY","(B),(D),(*)","Bars/Clubs",NA,1986,"FALSE"
"163","3971","Pete's Place Bar & R",NA,"317 E. 5th St. ","New York","NY",NA,"Restaurant,Bars/Clubs",NA,1986,"FALSE"
"164","3972","Pharoahs ",NA,"8 Christopher St. ","New York","NY","(R),(E)","Restaurant",NA,1986,"FALSE"
"165","3973","Pipe Line ","(Chelsea) ","232 8th Ave.","New York","NY","(*)","Bars/Clubs",NA,1986,"FALSE"
"166","3974","Pleasure Chest","(Leather, clothes, 'toys', etc.) ","20 W. 20th St.","New York","NY","(*)","Erotic Shop",NA,1986,"FALSE"
"167","3975","Pleasure Chest","(Leather, clothes, 'toys', etc.) ","152 7th Ave. S. ","New York","NY","(*)","Erotic Shop",NA,1986,"FALSE"
"168","3976","Pyramid ","(New Wave) ","101 Ave. 'A'","New York","NY","(M),(D)","Bars/Clubs",NA,1986,"FALSE"
"169","3977","Ramrod","(Some W, SM) ","494 West St. ","New York","NY","(W),(SM)","Bars/Clubs",NA,1986,"FALSE"
"170","3978","Rawhide ","(Some W, SM) ","212 8th Ave.","New York","NY","(*),(W),(SM)","Bars/Clubs",NA,1986,"FALSE"
"171","3979","River Hotel",NA,"180 Christopher St.","New York","NY",NA,"Bars/Clubs,Hotel",NA,1986,"FALSE"
"172","3980","Royal Roost ",NA,"154 W. 13th St.","New York","NY","(R),(E)","Restaurant",NA,1986,"FALSE"
"173","3981","Saint ","(Macho) (Disco) (Sat. & Sun. T-D only*)","105 2nd Ave. ","New York","NY","(P),(YC),(D),(*)","Bars/Clubs",NA,1986,"FALSE"
"174","3982","78-80 Christopher St.","(All-male mini-theatre) ","78 Christopher St. ","New York","NY","(*)","Theatre",NA,1986,"FALSE"
"175","3983","Sheridan Sq. Health Club ","(Gym) ",NA,"New York","NY","(M)","Gym","checked",1986,"FALSE"
"176","3984","Sneakers ","('Mixed bag') ","392 West St. ","New York","NY",NA,"Bars/Clubs",NA,1986,"FALSE"
"177","3985","Spike Bar","(Flicks) (Cruisy) (Palm Room-R) ","120 11th Ave.","New York","NY","(W),(SM),(PT),(*)","Bars/Clubs,Cruising Areas",NA,1986,"TRUE"
"178","3986","St. Mark's Baths","(See New St. Mark's Baths) ","6 St. Mark's Place","New York","NY","(*)","Bathhouses","checked",1986,"FALSE"
"179","3987","Tempus Fugit ",NA,"178 2nd Ave.","New York","NY",NA,"Bars/Clubs",NA,1986,"FALSE"
"180","3988","The Bar",NA,"68 2nd Ave.","New York","NY",NA,"Bars/Clubs",NA,1986,"FALSE"
"181","3989","The Stable ",NA,"400 W. 14th St.","New York","NY","(C&W)","Bars/Clubs",NA,1986,"FALSE"
"182","3990","Trilogy ","(Sun. afternoons*) ","135 Christopher St. ","New York","NY","(R),(YC),(*)","Restaurant",NA,1986,"FALSE"
"183","3991","Two Potato ",NA,NA,"New York","NY","(R)","Restaurant","checked",1986,"FALSE"
"184","3992","Ty's ",NA,"114 Christopher St.","New York","NY","(W),(*)","Bars/Clubs",NA,1986,"FALSE"
"185","3993","Uncle Charlie's Downtown ","('Top' Village cruise bar) ","56 Greenwhich Ave., ","New York","NY","(*)","Bars/Clubs",NA,1986,"TRUE"
"186","3994","Uncle Charlie's Village",NA,"180 Christopher St.","New York","NY","(*)","Bars/Clubs",NA,1986,"FALSE"
"187","3995","Underground ","(An erotic emporium- Books, 'toys', etc.) (Dock Strip) ","390 West St.","New York","NY",NA,"Book Store,Erotic Shop",NA,1986,"FALSE"
"188","3996","Village Stix ","(Sunday afternoons*) ","139 Christopher St. ","New York","NY","(*)","Bars/Clubs",NA,1986,"FALSE"
"189","3997","Wall Street Sauna ","(Baths) (11th floor0 (Best days) ","1 Maiden Lane","New York","NY","(*)","Bathhouses",NA,1986,"FALSE"
"190","3998","Waverly Waverly ",NA,"147 Waverly Pl. ","New York","NY","(R),(E)","Restaurant",NA,1986,"FALSE"
"191","3999","Wendell's Cards & Books",NA,"302 W. 12th St.","New York","NY",NA,"Book Store",NA,1986,"FALSE"
"192","4000","Zips 636 Houston St. ",NA,NA,"New York","NY",NA,"Bars/Clubs","checked",1986,"FALSE"
"193","4001","Bleecker & Hudson Sts.",NA,NA,"New York","NY","Cruisy Area","Cruising Areas","checked",1986,"TRUE"
"194","4002","Christopher St.","especially at corner of West St.",NA,"New York","NY","Cruisy Area","Cruising Areas","checked",1986,"TRUE"
"195","4003","Greenwich Ave.","betw. 6th & 7th Sts. ",NA,"New York","NY","Cruisy Area","Cruising Areas","checked",1986,"TRUE"
"196","4004","Metropolitan Theatre",NA,"235 E. 14th St.","New York","NY","Cruisy Area","Cruising Areas,Theatre","checked",1986,"TRUE"
"197","4005","Sheridan Square",NA,NA,"New York","NY","Cruisy Area","Cruising Areas","checked",1986,"TRUE"
"198","4006","Weehawken St.","by foot or car",NA,"New York","NY","Cruisy Area","Cruising Areas","checked",1986,"TRUE"
