ID2,title,description,streetaddress,city,state,amenityfeatures,type,unclear_address,unclear type or question,notes,Year,Last Modified
59,Auburn U/Mont.,Bell Rd.,,Montgomery,AL,Cruisy Area,Cruising Areas,checked,,,1986,1/25/2022 1:55pm
60,Block around Post Office,,,Montgomery,AL,Cruisy Area,Cruising Areas,checked,,,1986,1/25/2022 1:55pm
61,Church St. betw. Lee & Molton,,,Montgomery,AL,Cruisy Area,Cruising Areas,checked,,,1986,1/25/2022 1:55pm
62,Lee St. betw. Bus Depots,,,Montgomery,AL,Cruisy Area,Cruising Areas,checked,,,1986,1/25/2022 1:55pm
63,Omelet Shop,,1017 Columbus Pkwy.,Opelika,AL,"(M),(R),(C),(AH),(AYOR)",Restaurant,,,,1986,1/25/2022 1:57pm
64,Cap 'n Hook's,(Cruisy) ,"Holiday Inn, 1-280 Bypass",Phenix City,AL,(M),"Bars/Clubs,Cruising Areas",checked,,,1986,6/7/2022 2:19pm
65,Selma Mall,,Broad St.,Selma,AL,Cruisy Area,Cruising Areas,checked,,,1986,1/25/2022 2:04pm
66,Chucker's ,,2121 6th St.,Tuscaloosa,AL,"(YC),(M),(PT),(*)",Bars/Clubs,,,,1986,1/25/2022 2:02pm
67,Bus Station,,,Tuscaloosa,AL,Cruisy Area,Cruising Areas,checked,,,1986,1/25/2022 2:04pm
68,Union 76 Truck Stop,(T-Room) ,at 1-20 & US 59,Tuscaloosa,AL,Cruisy Area,Cruising Areas,checked,,,1986,1/25/2022 2:04pm
69,U. of Alabama at Tuscaloosa,"Ferguson Center &
Library T-Rooms & Old Union Bldg. (2nd floor T-Room)",,Tuscaloosa,AL,Cruisy Area,Cruising Areas,checked,,,1986,1/25/2022 2:04pm
70,D Street Book Mark,(Crusiy) ,419 'D' St.,Anchorage,AK,Cruisy Area,"Book Store,Erotic Shop",checked,,,1986,6/7/2022 2:11pm
71,Identity & Gay Hot Line,"(907) 276-3909 or 276-3919
","P.O. Box 4-2791, 99509",Anchorage,AK,,"Hotline,Religious Institution",checked,,,1986,6/13/2022 9:34am
72,Jade Room,(2 floors) ,701 'I' St.,Anchorage,AK,"(D),(PT),(*)",Bars/Clubs,,,,1986,1/25/2022 2:08pm
73,M.C.C.,,602 W. 10th Ave.,Anchorage,AK,(MCC),Religious Institution,,,,1986,6/7/2022 12:29pm
74,Raven ,"(Some YC, W, SM) (Cruisy) (Good Afternoons) ",618 Gambell nr. 6th,Anchorage,AK,"(YC),(W),(SM),(D),(*)","Bars/Clubs,Cruising Areas",checked,,,1986,6/7/2022 2:17pm
75,The Village,(Disco) (Some L) ,225 E. 5th Ave.,Anchorage,AK,"(YC),(D),(L),(*)",Bars/Clubs,,,,1986,1/25/2022 2:18pm
76,'C' St.,,at 4th Ave.,Anchorage,AK,Cruisy Area,Cruising Areas,checked,,,1986,1/25/2022 2:28pm
77,Fred Myers Depot. Store,T-Room,,Anchorage,AK,Cruisy Area,Cruising Areas,checked,,,1986,1/25/2022 2:28pm
78,Park Strip ,,at 9th & 'L' Sts.,Anchorage,AK,Cruisy Area,Cruising Areas,checked,,,1986,1/25/2022 2:28pm
79,Penney's & Sears Mall,,,Anchorage,AK,Cruisy Area,Cruising Areas,checked,,,1986,1/25/2022 2:28pm
80,Gay Info Line,(907) 456-3353,,Fairbanks,AK,,Hotline,checked,,,1986,6/7/2022 2:20pm
81,Mike's 500 Club,(nights*) ,500 1st Ave.,Fairbanks,AK,(*),Bars/Clubs,,,,1986,6/7/2022 2:25pm
82,Out in the North,(Publication) ,"Box 60351, Fair., 99706",Fairbanks,AK,,Publication,checked,,,1986,6/13/2022 9:34am
83,Bentley Mall,,,Fairbanks,AK,Cruisy Area,Cruising Areas,checked,,,1986,1/25/2022 2:28pm
84,U. of Alaska ,"Library Constitution Hall, Gym & Wood Ctr.",,Fairbanks,AK,Cruisy Area,Cruising Areas,checked,,,1986,1/25/2022 2:28pm
85,Red Dog Saloon,,S. Franklin St.,Juneau,AK,(M),Bars/Clubs,checked,,,1986,6/13/2022 9:34am
86,Sheffield Hotel Bar,(Best late) ,51 Egan Dr.,Juneau,AK,(M),"Bars/Clubs,Hotel",,,,1986,6/7/2022 2:01pm
87,Summit Hotel Bar,(behind restaurant) ,455 S. Franklin,Juneau,AK,"(M),(*)","Bars/Clubs,Hotel",,,,1986,6/7/2022 2:01pm
88,Merchants Wharf,T-Rooms,,Juneau,AK,Cruisy Area,Cruising Areas,checked,,,1986,1/25/2022 2:33pm
89,Hitch-hikers ,along Tongass Hwy.,,Ketchikan,AK,Cruisy Area,Cruising Areas,checked,,,1986,1/25/2022 2:33pm
90,Frontier,"No gay bars, but some downtown bars such as",on Main St.,Ketchikan,AK,Cruisy Area,Cruising Areas,checked,,,1986,1/25/2022 2:33pm
91,108 Club,"No gay bars, but some downtown bars such as 108 Club can be cruisy",on Main St.,Ketchikan,AK,Cruisy Area,Cruising Areas,checked,,,1986,1/25/2022 2:33pm
92,St. Elmo ,,36 Brewery Gulch Ave.,Bisbee,AZ,"(M),(W),(PT),(E),(WE)",Bars/Clubs,,,,1986,1/25/2022 2:38pm
93,'Rest Stops' ,,N on I-10,Casa Grande,AZ,Cruisy Area,Cruising Areas,checked,,,1986,1/25/2022 2:39pm
94,Northern Arizona Univ. Library ,Basement T-Room,,Flagstaff,AZ,Cruisy Area,Cruising Areas,checked,,,1986,1/25/2022 2:42pm
95,Ramada Inn,,,Flagstaff,AZ,Cruisy Area,Cruising Areas,checked,,,1986,1/25/2022 2:42pm
96,'Rest Stops' ,,"on 1-40, 15mi. W.",Flagstaff,AZ,Cruisy Area,Cruising Areas,checked,,,1986,1/26/2022 6:16pm
97,Thorp Park,(Sunset & WE) ,,Flagstaff,AZ,Cruisy Area,Cruising Areas,checked,,,1986,1/25/2022 2:42pm
98,PX ,T-Room,,FT. Huachuca,AZ,Cruisy Area,Cruising Areas,checked,,,1986,1/26/2022 6:05pm
99,Schoolhouse Disco,Old Schoolhouse Shops at top of Hill,,Jerome,AZ,"(M),(D)",Bars/Clubs,checked,,,1986,6/7/2022 2:20pm
100,The Library,Old Schoolhouse Shops,,Jerome,AZ,"(M),(R)",Restaurant,checked,,,1986,6/7/2022 2:20pm
101,London Bridge,,,Lake Havasu City,AZ,Cruisy Area,Cruising Areas,checked,,,1986,1/26/2022 6:06pm
102,Reed & Pioneer Parks,,,Mesa,AZ,"Cruisy Area,(AYOR)",Cruising Areas,checked,,,1986,1/26/2022 6:07pm
103,Tri-City Mall,,,Mesa,AZ,Cruisy Area,Cruising Areas,checked,,,1986,1/26/2022 6:07pm
104,Apollo ,(Some SM) ,5749 N. 7th St.,Phoenix,AZ,"(SM),(*)",Bars/Clubs,,,,1986,1/26/2022 6:08pm
105,Arizona Escort Service,(602) 246-1692,,Phoenix,AZ,,Escort Service,checked,,,1986,6/7/2022 2:20pm
106,Barney's Books,,1421 E. McDowell Rd.,Phoenix,AZ,,Book Store,,,,1986,1/26/2022 6:09pm
107,Best Distributing,,"P.O. Box 27073, Phoenix 85061",Phoenix,AZ,,Business,checked,,,1986,1/26/2022 6:09pm
108,Book Cellars ,"(Books, etc.) & other locations",2103 W . Camelback Rd.,Phoenix,AZ,,Book Store,,,,1986,1/26/2022 6:10pm
109,Book Cellars,"(Books, etc.) & other locations",402 W . Hatcher,Phoenix,AZ,,Book Store,,,,1986,1/26/2022 6:11pm
110,Castle Asult Books,,5501 E. Washington,Phoenix,AZ,,"Book Store,Erotic Shop",,,,1986,1/26/2022 6:11pm
111,Cattleman's Exchange ,,138 W. Camelback Rd.,Phoenix,AZ,(OC),Bars/Clubs,,,,1986,1/26/2022 6:11pm
112,Charlie's,(Square-D) (Breakfast) ,3425 N. 7th St.,Phoenix,AZ,"(C&W),(D),(R),(*)","Restaurant,Bars/Clubs",,,,1986,1/26/2022 6:12pm
113,Club Phoenix Baths,(East Side—Northbound),1517 S. Black Canyon Rd.,Phoenix,AZ,"(P),(CBC)",Bathhouses,,,,1986,1/26/2022 6:14pm
114,Connection ,(Cruisy) (Some W) (Disco) ,4211 N. 7th St.,Phoenix,AZ,"(*),(W),(YC)","Bars/Clubs,Cruising Areas",,,,1986,6/7/2022 1:25pm
115,Cruisin Central ,"(Some OC, Hustlers) ",1011 N. Central Ave.,Phoenix,AZ,(OC),Bars/Clubs,,,,1986,1/26/2022 6:15pm
116,Dignity,(602) 866-1035,,Phoenix,AZ,,Religious Institution,checked,,,1986,6/7/2022 12:30pm
117,Directory ,(Publication) (602) 274-4768,,Phoenix,AZ,,Publication,checked,,,1986,6/7/2022 2:20pm
118,Discouvery,(Disco) ,1730 E. McDowell,Phoenix,AZ,"(D),(S),(PT),(*)",Bars/Clubs,,,,1986,1/26/2022 6:27pm
119,Durant's,(Cocktail hour),2611 N. Central Ave.,Phoenix,AZ,"(M),(R)","Restaurant,Bars/Clubs",,,,1986,1/26/2022 6:27pm
120,Erotica Motel & Book Store,,5200 E. Van Buren,Phoenix,AZ,(H),"Hotel,Book Store,Erotic Shop",,,,1986,1/26/2022 6:28pm
121,FirsTravel ,(agency) ,5150 N. 7th St.,Phoenix,AZ,,Travel Service,,,,1986,6/7/2022 12:28pm
122,Gay/Lesbian Assistance & Info,(602) 234-2752,,Phoenix,AZ,,Hotline,checked,,,1986,6/7/2022 2:20pm
123,Gay Roommate Service,(602) 938-3932,,Phoenix,AZ,,Business,checked,,,1986,6/7/2022 2:20pm
124,Goog's,,1812 E. Camelback Rd.,Phoenix,AZ,"(M),(R),(AH)",Restaurant,,,,1986,1/26/2022 6:33pm
125,Grand Camel,(Some L) ,5105 N. 43rd Ave.,Phoenix,AZ,"(R),(L)",Restaurant,,,,1986,1/26/2022 6:33pm
126,Hotbods,(AH-WE) (Unisex) ,3437 E. McDowell Rd.,Phoenix,AZ,"(YC),(AH),(WE),(D),(*)",Bars/Clubs,,,,1986,1/26/2022 6:38pm
127,"Humanspace Books, Inc.",,2401 N. 32nd St. #5,Phoenix,AZ,,Book Store,,,,1986,1/26/2022 6:38pm
128,Incognito Lounge,,2424 E. Thomas Rd.,Phoenix,AZ,"(L),(D)",Bars/Clubs,,,,1986,1/26/2022 6:39pm
129,Little Jim's 307 ,(Hustlers) ,222 E. Roosevelt,Phoenix,AZ,"(OC),(PT)",Bars/Clubs,,,,1986,1/26/2022 6:40pm
130,M&M's,(Discobar) (Looks promising) ,727 W. Camelback,Phoenix,AZ,(D),Bars/Clubs,,,,1986,1/26/2022 6:40pm
131,M.C.C.,,1029 Turney (Casa de Cristo),Phoenix,AZ,(MCC),Religious Institution,,,,1986,6/7/2022 12:44pm
132,New Moon,(Disco) ,3108 E. McDowell Rd.,Phoenix,AZ,"(L),(D)",Bars/Clubs,,,,1986,1/26/2022 6:42pm
133,Nu Towne,,5002 E. Van Buren,Phoenix,AZ,(PT),Bars/Clubs,,,,1986,1/26/2022 6:43pm
134,Phoenix Power & Supply ,(Video) (Looking good) ,1810 E. McDowell,Phoenix,AZ,"(*),(SM),(W),(PT)",Bars/Clubs,,,,1986,1/26/2022 6:46pm
135,Raggedy Ann 'n' Andy's,(Many L) (Disco) ,2320 N. 32nd St.,Phoenix,AZ,"(L),(D)",Bars/Clubs,,,,1986,1/26/2022 6:47pm
136,Ramrod,(Sun. beer bust* )(Patio),395 N. Black Canyon Rd.,Phoenix,AZ,"(SM),(W),(PT),(*)",Bars/Clubs,,,,1986,6/7/2022 2:26pm
137,Royal Villa Motel ,(Pool) ,1102 E. Turney Ave.,Phoenix,AZ,,Hotel,,,,1986,1/26/2022 6:50pm
138,Shamoos,(S-WE),3025 N . 24th St.,Phoenix,AZ,"(S),(WE)",Bars/Clubs,,,,1986,1/26/2022 6:53pm
139,Stixx,(Looking good),3015 N . 16th St.,Phoenix,AZ,,Bars/Clubs,,,,1986,1/26/2022 6:53pm
140,Sundown Corral,(Patio) ,16232 N. 32nd St.,Phoenix,AZ,"(W),(E)",Bars/Clubs,,,,1986,1/26/2022 6:54pm
141,Taylor's,(DW's R) ,4223 N. 7th St.,Phoenix,AZ,"(*),(R),(E)",Restaurant,,,,1986,1/26/2022 6:54pm
142,Trax,(D.J. but no D) (AH-WE),1724 E. McDowell,Phoenix,AZ,"(SM),(D),(PT),(*),(AH),(WE)",Bars/Clubs,,,,1986,1/26/2022 6:55pm
143,Tuff Stuff,"(Leather, Toys, etc.) ",1714 E. McDowell,Phoenix,AZ,,Erotic Shop,,,,1986,1/26/2022 6:56pm
144,21st Century Travel,,"2432 W . Peoria, Suite 1082",Phoenix,AZ,,Travel Service,,,,1986,1/26/2022 6:57pm
145,Western Express,(Publication) ,"P.O. Box 32575, Phoenix 85064",Phoenix,AZ,,Publication,checked,,,1986,6/13/2022 9:34am
146,Women's Center,,1634 N. 7th St.,Phoenix,AZ,,Community Center/ Support Group,,,,1986,1/26/2022 6:58pm
147,Encanto Park,,,Phoenix,AZ,"Cruisy Area,(AYOR)",Cruising Areas,checked,,,1986,1/26/2022 6:59pm
148,'Hitch-hikers',,2nd & Roosevelt Sts.,Phoenix,AZ,Cruisy Area,Cruising Areas,checked,,,1986,6/7/2022 2:11pm
149,Greyhound Park,"Sundays are cruisy at
Park 'n' Swap",,Phoenix,AZ,Cruisy Area,Cruising Areas,checked,,,1986,6/7/2022 2:12pm
150,Indian School Rd.,56th to 68th—Canal Joggers,,Phoenix,AZ,Cruisy Area,Cruising Areas,checked,,,1986,6/7/2022 2:12pm
151,Metro Center ,Shopping Complex—nr. ice rink,,Phoenix,AZ,Cruisy Area,Cruising Areas,checked,,,1986,6/7/2022 2:12pm
152,Papago Park,,,Phoenix,AZ,"(AYOR),Cruisy Area",Cruising Areas,checked,,,1986,6/7/2022 2:12pm
153,Public Library,Basement T-Room,,Phoenix,AZ,Cruisy Area,Cruising Areas,checked,,,1986,6/7/2022 2:12pm
154,Sundowner Motel,Pool & R (Downstairs bar nights) ,,Phoenix,AZ,"(R),Cruisy Area","Cruising Areas,Restaurant,Hotel",checked,,,1986,6/7/2022 2:14pm
155,Western Bar,,130 1/2 Montezuma,Prescott,AZ,(M),Bars/Clubs,,,,1986,1/26/2022 7:03pm
156,J.R.'s Hideaway,(Hard to find) (In alley) ,7125 5th Ave.,Scottsdale,AZ,,Bars/Clubs,,,,1986,1/26/2022 7:04pm
157,Zorba's Book Shop,,"2924 N . Scottsdale Rd.
",Scottsdale,AZ,(*),Book Store,,,,1986,1/26/2022 7:04pm
158,Oak Creek Owl,,1/2 mi. S. of 89A on Ariz. 179,Sedona,AZ,"(M),(R)",Restaurant,,,,1986,1/26/2022 7:05pm
159,K-Mart ,T-Room,,Sierra Vista,AZ,Cruisy Area,Cruising Areas,checked,,,1986,1/26/2022 7:05pm
160,Marie's 1st Place,,709 S. Mill Ave.,Tempe,AZ,"(M),(R)",Restaurant,,,,1986,1/26/2022 7:06pm
161,Modern World Adult Books,,1812 E. Apache,Tempe,AZ,,"Book Store,Erotic Shop",,,,1986,1/26/2022 7:07pm
162,Valley Art Theatre,,509 S. Mill Ave.,Tempe,AZ,(M),Theatre,,,,1986,1/26/2022 7:07pm
163,A.S.U. ,"Student Union, Library & Old Gym T-Rooms",,Tempe,AZ,Cruisy Area,Cruising Areas,checked,,,1986,1/26/2022 7:08pm
164,Papago Park,(Southern part),,Tempe,AZ,Cruisy Area,Cruising Areas,checked,,,1986,1/26/2022 7:08pm
165,'Rest Stop' ,,Hwy. 80 N.,Tempe,AZ,"Cruisy Area,(AYOR)",Cruising Areas,checked,,,1986,1/26/2022 7:08pm
166,City Park ,T-Room,,Tombstone,AZ,Cruisy Area,Cruising Areas,checked,,,1986,1/26/2022 7:09pm
167,Back Pocket,(Behind Joshua Tree) ,,Tucson,AZ,(*),Bars/Clubs,checked,,,1986,6/7/2022 2:20pm
168,Bentley's House of Coffee & Tea,(No booze) ,1730 E. Speedway,Tucson,AZ,"(M),(R)",Restaurant,,,,1986,6/7/2022 2:13pm
169,Blue Willow,(R & Gifts) ,2616 N. Campbell,Tucson,AZ,"(M),(R)","Business,Restaurant",,,,1986,6/7/2022 12:29pm
170,Books Brothers,,3244 E. Speedway,Tucson,AZ,(*),Book Store,,,,1986,1/26/2022 7:14pm
171,Caesar's Book Store,,2540 N. Miracle Mile,Tucson,AZ,(F&S),"Book Store,Erotic Shop",,,,1986,1/26/2022 7:14pm
172,Centurian Video Arcade,,3656 E. Speedway Blvd.,Tucson,AZ,(F&S),Theatre,,,,1986,1/26/2022 7:17pm
173,Colette's West,"(YC,L) (WE*) ",2849 N. 1st Ave.,Tucson,AZ,"(YC),(L),(WE),(*)",Bars/Clubs,,,,1986,1/26/2022 7:18pm
174,Congress,,311 E. Congress,Tucson,AZ,"(M),(OC),(RT)",Bars/Clubs,,,,1986,1/26/2022 7:19pm
175,Dignity ,(Church) ,"Box 27929, Tucson 85726",Tucson,AZ,,Religious Institution,checked,,,1986,6/7/2022 12:33pm
176,Fineline ,"(Disco) (Preppy) (Some L) (Dick's—some W, SM—downstairs)(3 floors)",101 W. Drachman,Tucson,AZ,"(D),(*),(YC),(L),(W),(SM)",Bars/Clubs,,,,1986,1/26/2022 7:21pm
177,Graduate ,(Something for everyone) (Cocktail hour) ,23 W. University,Tucson,AZ,"(*),(D)",Bars/Clubs,,,,1986,1/26/2022 7:22pm
178,Joshua Tree,(Cruisy) (Disco) ('Back Pocket' & patio in rear),2921 N. 1st Ave.,Tucson,AZ,"(*),(YC),(D)","Bars/Clubs,Cruising Areas",,,,1986,6/7/2022 1:26pm
179,J.R.'s,,622 N.W. 4th Ave.,Tucson,AZ,"(R),(C)",Restaurant,,,,1986,1/26/2022 7:25pm
180,M.C.C.,,560 S. Stone Ave.,Tucson,AZ,(MCC),Religious Institution,,,,1986,6/7/2022 12:44pm
181,Rita's Rendezvous ,(Sun. brunch) (Disco),3455 E. Grant Rd.,Tucson,AZ,"(*),(R),(D)","Restaurant,Bars/Clubs",,,,1986,1/26/2022 7:30pm
182,Ruby's,(L-only) ,2512 E. Grant Rd.,Tucson,AZ,"(OC),(L)",Bars/Clubs,,,,1986,1/26/2022 7:30pm
183,Speedway Books,"(off Alvernon, nr. Aviation Hwy.)",3660 E. Speedway,Tucson,AZ,(F&S),Book Store,,,,1986,1/26/2022 7:31pm
184,Stables ,(Baths) ,3820 E. 40th St.,Tucson,AZ,(P),Bathhouses,,,,1986,1/26/2022 7:32pm
185,The Bookstore Southwest,,1400 S. Alvernon,Tucson,AZ,"(S),(F&S)",Book Store,,,,1986,1/26/2022 7:33pm
186,The Observer,(Publication) ,"P.O. Box 50733, Tucson, AZ 85703",Tucson,AZ,,Publication,checked,,,1986,6/13/2022 9:34am
187,Tramps,(Macho) (Cruisy) (Disco) ,616 N. 4th Ave.,Tucson,AZ,"(*),(D)","Bars/Clubs,Cruising Areas",,,,1986,6/7/2022 1:28pm
188,"Bum Steer, Cowboys & Wild Cats",bars,,Tucson,AZ,"(YC),Cruisy Area","Cruising Areas,Bars/Clubs",checked,,,1986,1/26/2022 7:36pm
