"","ID","title","description","streetaddress","type","amenityfeatures","city","state","Year","lat","lon","categories","cruisy"
"180","3789","'Meat Rack'","Anywhere and everywhere from the time you get on the ferry, but especially thr W. end of the boardwalk at the Pines, and the 'Meat Rack' & bushes betw. Cherry Grove & The Pines. Seasonal flights are offered by Pellham Airlines, E. 23rd St. Marina, N.Y.C.","","Cruising Areas","Cruisy Area","Fire Island","NY",1985,40.6476,-73.145947,"Cruising Areas","TRUE"
"181","1941","'Meat Rack' & 'bushes'","betw. Cherry Grove & The Pines.","","Cruising Areas","Cruisy Area","Fire Island","NY",1981,40.6476,-73.145947,"Cruising Areas","TRUE"
"233","1957","'Rest Stop'","nr. exit 28","I-87","Cruising Areas","Cruisy Area","Lake George","NY",1981,43.426181,-73.712341,"Cruising Areas","TRUE"
"342","3209","'Rest Stop'","(on I-87, nr. exit 28)","","Cruising Areas","Cruisy Area","Lake George","NY",1982,43.426181,-73.712341,"Cruising Areas","TRUE"
"446","3487","'Rest Stop'","nr. exit 28","I-87","Cruising Areas","Cruisy Area","Lake George","NY",1983,43.426181,-73.712341,"Cruising Areas","TRUE"
"519","3826","'Rest Stop'","15 mi. N.","I-684","Cruising Areas","Cruisy Area","White Plains","NY",1983,41.033986,-73.76291,"Cruising Areas","TRUE"
"595","3858","'Rest Stop'","15 mi. N. on I-684","","Cruising Areas","Cruisy Area","White Plains","NY",1984,41.033986,-73.76291,"Cruising Areas","TRUE"
"601","3550","'Rest Stop'","on I-87, nr. exit 28","","Cruising Areas","Cruisy Area","Lake George","NY",1984,43.426181,-73.712341,"Cruising Areas","TRUE"
"714","3809","'Rest Stop'","(on I-87 nr. exit 28)","","Cruising Areas","Cruisy Area","Lake George","NY",1985,43.426181,-73.712341,"Cruising Areas","TRUE"
"729","4093","'Rest Stop'","(15 mi. N. on I-684)","","Cruising Areas","Cruisy Area","White Plains","NY",1985,41.033986,-73.76291,"Cruising Areas","TRUE"
"847","2264","'Rest Stops'","#NAME?","Sunrise Hwy. Ext.","Cruising Areas","Cruisy Area","The Hamptons","NY",1981,40.963434,-72.184801,"Cruising Areas","TRUE"
"859","3809","'Rest Stops'","both sides - just W. of Shinnecock Canal","Sunrise Hwy. Ext.","Cruising Areas","Cruisy Area","The Hamptons","NY",1983,40.963434,-72.184801,"Cruising Areas","TRUE"
"879","3841","'Rest Stops'","on Sunrise Hwy. Ext. - both sides -
just W. of Shinnecock Canal","","Cruising Areas","Cruisy Area","The Hamptons","NY",1984,40.963434,-72.184801,"Cruising Areas","TRUE"
"885","4076","'Rest Stops'","(on Sunrise Hwy. Ext.- Both Sides just W. of Shinnecock Canal)","","Cruising Areas","Cruisy Area","The Hamptons","NY",1985,40.963434,-72.184801,"Cruising Areas","TRUE"
"907","3507","'Rest Stops' on Sunrise Hwy. Ext.","( - both sides- just W. of Shinnecock Canal)","","Cruising Areas","Cruisy Area","Easthampton","NY",1982,40.963434,-72.184801,"Cruising Areas","TRUE"
"1045","2269","'Turn around circle'","at end of Main, & block from 1st to 2nd betw. Main & Catherine","","Cruising Areas","Cruisy Area","Utica","NY",1981,43.10199,-75.223951,"Cruising Areas","TRUE"
"1046","3814","'Turn around circle'","at end of Main, & block from 1st to 2nd betw. Main & Catherine","","Cruising Areas","Cruisy Area","Utica","NY",1983,43.10199,-75.223951,"Cruising Areas","TRUE"
"1047","4081","'Turn around circle'","( at end of Main, & block from 1st to 2nd betw. Main & Catherine )","","Cruising Areas","Cruisy Area","Utica","NY",1985,43.10199,-75.223951,"Cruising Areas","TRUE"
"1048","3512","'Turn around circle' at the end of Main, & block from 1st to 2nd betw. Main & Catherine","","","Cruising Areas","Cruisy Area","Utica","NY",1982,43.10199,-75.223951,"Cruising Areas","TRUE"
"1049","3846","'Turn around cricle'","at end of Main, & block
from 1st to 2nd betw. Main & Catherine","","Cruising Areas","Cruisy Area","Utica","NY",1984,43.10199,-75.223951,"Cruising Areas","TRUE"
"1052","2196","'Vaseline Alley'","37th Rd. by foot or car","","Cruising Areas","Cruisy Area,(AYOR)","Queens","NY",1981,40.747118,-73.892407,"Cruising Areas","TRUE"
"1053","3439","'Vaseline Alley'","(37th Rd. by foot or car) (AYOR)","","Cruising Areas","Cruisy Area,(AYOR)","Queens","NY",1982,40.747118,-73.892407,"Cruising Areas","TRUE"
"1054","3738","'Vaseline Alley'","by foot or car","37th Rd.","Cruising Areas","Cruisy Area,(AYOR)","Queens","NY",1983,40.747118,-73.892407,"Cruising Areas","TRUE"
"1055","3778","'Vaseline Alley'","37th Rd. by foot or car","","Cruising Areas","Cruisy Area,(AYOR)","Queens","NY",1984,40.747118,-73.892407,"Cruising Areas","TRUE"
"1056","4011","'Vaseline Alley'","(37th Rd. by foot or car)","","Cruising Areas","Cruisy Area,(AYOR)","Queens","NY",1985,40.747118,-73.892407,"Cruising Areas","TRUE"
"1092","3982","3rd Ave. from 53rd to 70th Sts.","","","Cruising Areas","Cruisy Area","Uptown- N.Y.C.","NY",1985,40.761259,-73.966823,"Cruising Areas","TRUE"
"1127","3526","8 Christopher St. Tavern","","8 Christopher St.","Bars/Clubs","(PT),(*)","Greenwich Village & Chelsea","NY",1983,40.7338418,-74.0001048,"Bars","FALSE"
"1143","3803","15 E. 5th","('R&R')(Disco)(Some L)","15 E. 5th","Bars/Clubs","(D),(L)","Jamestown","NY",1985,42.0984865,-79.24104,"Bars","FALSE"
"1150","3508","17 Allen St.","","17 Allen St.","Restaurant","(YC),(R)","Buffalo","NY",1984,42.8996121,-78.8706114,"Restaurants","FALSE"
"1151","3755","17 Allen St.","","17 Allen St.","Restaurant","(YC),(R)","Buffalo","NY",1985,42.8996121,-78.8706114,"Restaurants","FALSE"
"1152","3634","17th St. Saloon","","17th St. & 8th Ave.","Bars/Clubs","","Greenwich Village","NY",1984,40.741674,-74.001126,"Bars","FALSE"
"1179","3643","23rd St. Saloon","(French R) (Looks promising)","23rd St. & 11th Ave.","Restaurant","(PE),(R)","Greenwich Village","NY",1984,40.748882,-74.006917,"Restaurants","FALSE"
"1192","3772","34 N. Washington St.","(Baths)(Some YC, hustlers)","34 N. Washington St.","Bathhouses","(YC),(*)","Rochester","NY",1983,43.1559798,-77.6176936,"Bath Houses","FALSE"
"1195","3758","40 Union Street","","40 Union St.","Restaurant","(R)","Rochester","NY",1983,43.1570304,-77.5954882,"Restaurants","FALSE"
"1197","2085","42nd St. Barracks","(Hotel-like baths)(Moving to 34th St.)","226 W. 42nd St.","Bathhouses,Hotel","","Midtown","NY",1981,40.7563193,-73.9882333,"Accommodations","FALSE"
"1198","3330","42nd St. Barracks","(Hotel-like baths)","226 W. 42nd St.","Bathhouses,Hotel","(B)","Midtown","NY",1982,40.7563193,-73.9882333,"Accommodations","FALSE"
"1199","3632","42nd St. Barracks","(Hotel-like baths)","226 W. 42nd St.","Bathhouses,Hotel","","Midtown","NY",1983,40.7563193,-73.9882333,"Accommodations","FALSE"
"1200","3679","42nd St. Barracks","(Hotel-like baths)","226 W . 42nd St.","Bathhouses,Hotel","(B)","Midtown","NY",1984,40.7563193,-73.9882333,"Accommodations","FALSE"
"1201","3919","42nd St. Barracks","(Hotel-like baths)","226 W. 42nd St.","Bathhouses,Hotel","(B)","Midtown","NY",1985,40.7563193,-73.9882333,"Accommodations","FALSE"
"1212","2086","55th St. Playhouse","(Cinema) nr. 7th Ave.","55th St.","Theatre","","Midtown","NY",1981,40.7660018,-73.985207,"Businesses","FALSE"
"1213","3331","55th St. Playhouse","(Cinema)","55th St. nr. 7th Ave.","Theatre","","Midtown","NY",1982,40.763743,-73.980443,"Businesses","FALSE"
"1214","3633","55th St. Playhouse","(Cinema) nr. 7th Ave.","55th St.","Theatre","","Midtown","NY",1983,40.7660018,-73.985207,"Businesses","FALSE"
"1215","3680","55th St. Playhouse","(Cinema)","55th St. nr. 7th Ave.","Theatre","","Midtown","NY",1984,40.763743,-73.980443,"Businesses","FALSE"
"1216","3920","55th St. Playhouse","(Cinema) (nr. 7th Ave.)","55th St.","Theatre","","Midtown","NY",1985,40.763743,-73.980443,"Businesses","FALSE"
"1223","2165","75th St.","betw. Amsterdam & Colum bus","","Cruising Areas","Cruisy Area","Uptown","NY",1981,40.78019,-73.978736,"Cruising Areas","TRUE"
"1224","3413","75th St.","(betw. Amsterdam & Columbus)","","Cruising Areas","Cruisy Area","Uptown","NY",1982,40.78019,-73.978736,"Cruising Areas","TRUE"
"1225","3710","75th St.","betw. Amsterdam & Columbus","","Cruising Areas","Cruisy Area","Uptown","NY",1983,40.78019,-73.978736,"Cruising Areas","TRUE"
"1226","3751","75th St.","betw. Amsterdam & Columbus","","Cruising Areas","Cruisy Area","Uptown","NY",1984,40.78019,-73.978736,"Cruising Areas","TRUE"
"1227","3981","75th St.","(betw. Amsterdam & Columbus)","","Cruising Areas","Cruisy Area","Uptown- N.Y.C.","NY",1985,40.758159,-73.892459,"Cruising Areas","TRUE"
"1238","3586","78-80 Christopher St.","(All-male Mini-theatre)","78 Christopher St.","Theatre","(*)","Greenwich Village & Chelsea","NY",1983,40.7334049,-74.0035071,"Businesses","FALSE"
"1239","3635","78-80 Christopher St.","(All-male Mini-theatre)","78 Christopher St.","Theatre","(*)","Greenwich Village & Chelsea","NY",1984,40.7334049,-74.0035071,"Businesses","FALSE"
"1240","3884","78-80 Christopher St.","(All-male mini-theatre)","78 Christopher St.","Theatre","(*)","Greenwich Village","NY",1985,40.7334049,-74.0035071,"Businesses","FALSE"
"1244","3247","82 Club","(Cinema) (FFA)","82 E. 4th St.","Theatre,Bars/Clubs","(FFA),(SM),(RT)","Greenwich Village & Chelsea","NY",1982,40.7262057,-73.9899058,"Bars","FALSE"
"1246","3395","96 West","(Disco)","168 W. 96th St.","Bars/Clubs","(D)","Uptown","NY",1982,40.79354,-73.9697448,"Bars","FALSE"
"1247","3692","96 West","(Disco)","168 W. 96th St.","Bars/Clubs","(D),(B)","Uptown","NY",1983,40.79354,-73.9697448,"Bars","FALSE"
"1248","3735","96 West","(Disco)","168 W. 96th St.","Bars/Clubs","(D),(B)","Uptown","NY",1984,40.79354,-73.9697448,"Bars","FALSE"
"1258","2260","132 N. Main","(Easthampton)(Summer guest house)","132 N. Main","Hotel","(P)","The Hamptons","NY",1981,40.8926011,-72.3916359,"Accommodations","FALSE"
"1259","3502","132 N. Main","(Summer guest house)","132 N. Main","Hotel","(P)","Easthampton","NY",1982,40.9699354,-72.1816658,"Accommodations","FALSE"
"1260","3838","132 N. Main","(Summer Guest House) (Easthampton)","132 N. Main","Hotel","(P)","The Hamptons","NY",1984,40.8926011,-72.3916359,"Accommodations","FALSE"
"1261","4073","132 N. Main","(Summer guest house) (Easthampton)","132 N. Main","Hotel","(P),(*)","The Hamptons","NY",1985,40.8926011,-72.3916359,"Accommodations","FALSE"
"1266","3644","220 Club","(2 floors) (Some drags)","220 W. Houston","Bars/Clubs","(AH),(S)","Greenwich Village & Chelsea","NY",1984,40.7287585,-74.004558,"Bars","FALSE"
"1279","2214","485 E. Main","","485 E. Main","Bars/Clubs","(D)","Rochester","NY",1981,43.1586483,-77.5996426,"Bars","FALSE"
"1280","3455","485 E. Main","(Many L) (Disco)","485 E. Main","Bars/Clubs","(YC),(D),(*)","Rochester","NY",1982,43.1586483,-77.5996426,"Bars","FALSE"
"1345","2203","2228 Club","(Many L)","2228 E. Falls Rd.","Bars/Clubs","(L)","Niagara Falls","NY",1981,43.087027,-79.0344331,"Bars","FALSE"
"1346","3443","2228 Club","(Sleazy)","2228 E. Falls Rd.","Bars/Clubs","","Niagara Falls","NY",1982,43.087027,-79.0344331,"Bars","FALSE"
"1392","3817","A Different Light","(Books)","548 Hudson St.","Book Store","","Greenwich Village","NY",1985,40.7349915,-74.0058319,"Businesses","FALSE"
"1408","2178","A Touch of Class","(Forest Hills)","113-24 Queens Blvd.","Bars/Clubs","","Queens","NY",1981,40.71715,-73.8355073,"Bars","FALSE"
"1457","4012","Abra Cadabra","(Disco) (South Beach)","Mills Ave.","Bars/Clubs","(D),(*)","Staten Island","NY",1985,40.579532,-74.150201,"Bars","FALSE"
"1538","2065","Adonis Cinema","at 50th St.","8th Ave.","Theatre","(*)","Midtown","NY",1981,40.7523177,-73.9933607,"Businesses","FALSE"
"1539","3308","Adonis Cinema","","8th Ave. at 50th St.","Theatre","(*)","Midtown","NY",1982,40.762858,-73.986054,"Businesses","FALSE"
"1540","3613","Adonis Cinema","at 50th St.","8th Ave.","Theatre","(*)","Midtown","NY",1983,40.7523177,-73.9933607,"Businesses","FALSE"
"1541","3661","Adonis Cinema","","8th Ave. at 50th St.","Theatre","(*)","Midtown","NY",1984,40.762858,-73.986054,"Businesses","FALSE"
"1542","3906","Adonis Cinema","at 50th St.","8th Ave.","Theatre","(*)","Midtown","NY",1985,40.762858,-73.986054,"Businesses","FALSE"
"1625","3558","Adult Book Store","","Rte. 17M","Book Store,Erotic Shop","","Middletown","NY",1984,41.4439553,-74.4240876,"Businesses","FALSE"
"1633","3814","Adult Book Store","","Rt. 17M","Book Store,Erotic Shop","","Middletown","NY",1985,41.445927,-74.422934,"Businesses","FALSE"
"1640","3767","Adult Book Store","","","Book Store,Erotic Shop","","Corning","NY",1985,42.142852,-77.05469,"Businesses","FALSE"
"1645","3770","Adult Book Store","","121 Lake St.","Book Store,Erotic Shop","","Elmira","NY",1985,42.0889463,-76.8015639,"Businesses","FALSE"
"1729","3763","Adult Fair","(Male flicks) (Jackson Heights)","Astoria Blvd. at 90th St.","Erotic Shop","","Queens","NY",1984,40.763599,-73.87925,"Businesses","FALSE"
"1730","3995","Adult Fair","(Male flicks) (at 90th St. (Jackson Heights)","Astoria Blvd.","Erotic Shop","","Queens","NY",1985,40.763599,-73.87925,"Businesses","FALSE"
"1731","3724","Adult Fair Astoria Blvd.","at 90th St. (Jackson Heights)","Astoria Blvd.","Erotic Shop","","Queens","NY",1983,40.7654021,-73.8890281,"Businesses","FALSE"
"1732","2176","Adult Fair Cinema","(Books) at 90th St. (Jackson Heights)","Astoria Blvd.","Theatre,Book Store","","Queens","NY",1981,40.763599,-73.87925,"Businesses","FALSE"
"1733","3424","Adult Fair Cinema","","Astoria Blvd. at 90th St.","Theatre","","Jackson Heights","NY",1982,40.763599,-73.87925,"Businesses","FALSE"
"1754","3771","Adult Toy Store","","123 Lake St.","Erotic Shop","","Elmira","NY",1985,42.0890544,-76.8016765,"Businesses","FALSE"
"1802","3180","Ah, Sea Guest House","","P.O. Box 128, Cherry Grove, 11782 or call KY 7-6230","Hotel","(H)","Fire Island, L.I.","NY",1982,40.6597917,-73.0899622,"Accommodations","FALSE"
"1803","3459","Ah, Sea Guest House","call KY 7-6230","P.O. Box 128, Cherry Grove, NY 11782","Hotel","(H)","Fire Island","NY",1983,40.6476,-73.145947,"Accommodations","FALSE"
"1804","3527","Ahsea Guest House","or call KY 7-6230","P.O. Box 128, Cherry Grove, 11782","Hotel","(H)","Fire Island","NY",1984,40.6597917,-73.0899622,"Accommodations","FALSE"
"1805","3774","Ahsea Guest House","(516)KY7-6230","P.O. Box 128, Cherry Grove 11782","Hotel","(H)","Fire Island","NY",1985,40.659792,-73.089962,"Accommodations","FALSE"
"1870","3561","Alex","(Cl. Monday)","28 10th Ave.","Bars/Clubs","(AH)","Greenwich Village & Chelsea","NY",1984,40.7410044,-74.0086191,"Bars","FALSE"
"1871","3494","Alex in Wonderland","(Disco) (Back room - 2nd floor) at West","13th St.","Bars/Clubs","(D),(PT),(*)","Greenwich Village & Chelsea","NY",1983,40.7383963,-74.0014389,"Bars","FALSE"
"1872","3562","Alex in Wonderland","(Disco) (F&S - 2nd floor)","13th St. at West","Bars/Clubs","(D),(PT),(F&S),(*)","Greenwich Village","NY",1984,40.738396,-74.001439,"Bars","FALSE"
"1873","3818","Alex in Wonderland","(Disco)(F&S 2nd floor)","30 10th Ave.","Bars/Clubs","(D),(PT),(F&S),(*)","Greenwich Village","NY",1985,40.7416695,-74.0081536,"Bars","FALSE"
"1881","3309","Alfie's","","225 W. 47th St.","Restaurant","(R),(E)","Midtown","NY",1982,40.759853,-73.9857316,"Restaurants","FALSE"
"1930","1895","Allen","","43 1/2 Allen","Restaurant","(R),(M),(YC),(*)","Buffalo","NY",1981,42.8995099,-78.8717931,"Restaurants","FALSE"
"1931","3151","Allen","","43 1/2/ Allen","Restaurant","(R),(M),(YC)","Buffalo","NY",1982,42.8995099,-78.8717931,"Restaurants","FALSE"
"1932","3424","Allen","","43 1/2 Allen","Restaurant","(R),(M),(YC)","Buffalo","NY",1983,42.8995099,-78.8717931,"Restaurants","FALSE"
"1933","3498","Allen","","16 Allen","Restaurant","(R),(YC)","Buffalo","NY",1984,42.8991643,-78.8707216,"Restaurants","FALSE"
"1934","3743","Allen","","16 Allen","Restaurant","(R),(YC)","Buffalo","NY",1985,42.8991643,-78.8707216,"Restaurants","FALSE"
"1936","3750","Allen St. Club","(Disco)","278 Allen St.","Bars/Clubs","(*),(L),(D)","Rochester","NY",1983,43.1567326,-77.6258384,"Bars","FALSE"
"1937","3790","Allen St. Club","(Disco)","278 Allen St.","Bars/Clubs","(*),(L),(D)","Rochester","NY",1984,43.1567326,-77.6258384,"Bars","FALSE"
"1938","4023","Allen St. Club","(Disco)","278 Allen St.","Bars/Clubs","(*),(L),(D)","Rochester","NY",1985,43.1567326,-77.6258384,"Bars","FALSE"
"1941","3758","Allentown Area","(Elmwood & Allen)","","Cruising Areas","Cruisy Area","Buffalo","NY",1985,42.899406,-78.876479,"Cruising Areas","TRUE"
"1942","1911","Allentown area","","(Elmwood & Allen)","Cruising Areas","Cruisy Area","Buffalo","NY",1981,42.899406,-78.876479,"Cruising Areas","TRUE"
"1943","3166","Allentown area","(Elmwood & Allen)","","Cruising Areas","Cruisy Area,(*)","Buffalo","NY",1982,42.899406,-78.876479,"Cruising Areas","TRUE"
"1944","3443","Allentown area","(Elmwood & Allen)","","Cruising Areas","Cruisy Area,(*)","Buffalo","NY",1983,42.899406,-78.876479,"Cruising Areas","TRUE"
"1945","3512","Allentown area","(Elmwood & Allen)","","Cruising Areas","Cruisy Area,(*)","Buffalo","NY",1984,42.899406,-78.876479,"Cruising Areas","TRUE"
"2029","1871","Amelia's","","222 Central Ave.","Bars/Clubs","(L),(*)","Albany","NY",1981,42.6625244,-73.7703318,"Bars","FALSE"
"2031","3181","Amelia's","(Snacks)","Cherry Grove","Restaurant","(R)","Fire Island, L.I.","NY",1982,40.66031,-73.089997,"Restaurants","FALSE"
"2033","3122","Amelia's","","222 Central Ave.","Bars/Clubs","(L),(*)","Albany","NY",1982,42.6625244,-73.7703318,"Bars","FALSE"
"2034","3400","Amelia's","","222 Central Ave.","Bars/Clubs","(L),(*)","Albany","NY",1983,42.6625244,-73.7703318,"Bars","FALSE"
"2036","3460","Amelia's","(Snacks)","Cherry Grove","Restaurant","(R)","Fire Island","NY",1983,40.66031,-73.089997,"Restaurants","FALSE"
"2037","3472","Amelia's","","222 Central Ave.","Bars/Clubs","(L),(PT),(*)","Albany","NY",1984,42.662524,-73.770332,"Bars","FALSE"
"2039","3528","Amelia's","(Snacks)","Cherry Grove","Restaurant","(R)","Fire Island","NY",1984,40.66031,-73.089997,"Restaurants","FALSE"
"2040","3775","Amelia's","(Snacks)","Cherry Grove","Restaurant","(R)","Fire Island","NY",1985,40.66031,-73.089997,"Restaurants","FALSE"
"2080","1927","Anabel's","(Snacks)","Cherry Grove","Restaurant","(R)","Fire Island","NY",1981,40.6597917,-73.0899622,"Restaurants","FALSE"
"2100","2130","Andre's","at 125th St.","8th Ave.","Bars/Clubs","(B)","Uptown","NY",1981,40.8164218,-73.9466138,"Bars","FALSE"
"2103","3952","Andre's","","2321 8th Ave.","Bars/Clubs","(B)","Uptown","NY",1985,40.8099751,-73.9515722,"Bars","FALSE"
"2119","3984","Angelo's Lounge","","Kiwanis Pkwy.","Bars/Clubs","","Brooklyn","NY",1985,40.678178,-73.944158,"Bars","FALSE"
"2144","3499","Annex","(Behind Club Swamp)","Montakuk Hwy. at East Gate Rd.","Restaurant,Bars/Clubs","(R),(E),(*)","Easthampton","NY",1982,40.963434,-72.184801,"Bars","FALSE"
"2147","3804","Annex","(Behind Club Swamp) at East Gate Rd. (Easthampton)","Montauk Hwy.","Restaurant,Bars/Clubs","(R),(*),(E)","The Hamptons","NY",1983,40.946973,-72.251262,"Bars","FALSE"
"2150","3835","Annex","(Behind Club Swamp) (Easthampton)","Montauk Hwy. at East Gate Rd.","Restaurant,Bars/Clubs","(R),(*)","The Hamptons","NY",1984,40.946973,-72.251262,"Bars","FALSE"
"2153","4070","Annex","(Behind Club Swamp) (Easthampton) (at East Gate Rd.)","Montauk Hwy.","Restaurant,Bars/Clubs","(R),(*),(E)","The Hamptons","NY",1985,40.946973,-72.251262,"Bars","FALSE"
"2169","2131","Ansonia Bath & Health Club","Ansonia Hotel at 73rd","2109 Broadway","Bathhouses,Hotel","","Uptown","NY",1981,40.7903912,-73.9759549,"Accommodations","FALSE"
"2170","3376","Ansonia Bath & Health Club","(Ansonia Hotel) (OC))","2109 Broadway at 73rd","Bathhouses,Bars/Clubs,Hotel","(OC)","Uptown","NY",1982,40.780042,-73.982314,"Accommodations","FALSE"
"2171","3673","Ansonia Bath & Health Club","Ansonia Hotel at 73rd","2109 Broadway","Bathhouses,Hotel","(OC)","Uptown","NY",1983,40.7903912,-73.9759549,"Accommodations","FALSE"
"2172","3718","Ansonia Bath & Health Club","Ansonia Hotel","2109 Broadway at 73rd","Bathhouses,Hotel","(OC)","Uptown","NY",1984,40.780042,-73.982314,"Accommodations","FALSE"
"2173","3953","Ansonia Bath & Health Club","(Ansonia Hotel) (at 73rd)","2109 Broadway","Bathhouses,Hotel","(OC)","Uptown","NY",1985,40.7903912,-73.9759549,"Accommodations","FALSE"
"2192","1965","Anvil","(Disco)('Back room') at 11th Ave.","500 W. 14th","Bars/Clubs","(D),(P),(RT),(AYOR)","Greenwich Village","NY",1981,40.7421136,-74.0085052,"Bars","FALSE"
"2193","3217","Anvil","(Disco) (AYOR) ('Back Room') (Also called J's)","500 W. 14th at 11th Ave.","Bars/Clubs","(P),(D),(RT),(AYOR)","Greenwich Village","NY",1982,40.742114,-74.008505,"Bars","FALSE"
"2194","3495","Anvil","(Disco)('Back room') at 11th Ave.","500 W. 14th","Bars/Clubs","(D),(RT),(AYOR),(P)","Greenwich Village & Chelsea","NY",1983,40.7421136,-74.0085052,"Bars","FALSE"
"2195","3563","Anvil","(Disco)","500 W. 14th at 11th Ave.","Bars/Clubs","(P),(D),(RT),(AYOR),(F&S)","Greenwich Village","NY",1984,40.742114,-74.008505,"Bars","FALSE"
"2196","3819","Anvil","(Disco) (at 11th Ave.)","500 W. 14th","Bars/Clubs","(P),(D),(RT),(AYOR),(F&S)","Greenwich Village","NY",1985,40.742114,-74.008505,"Bars","FALSE"
"2202","3539","Anywhere","and everyplace from the time you get on
the ferry, but especially the W. end of the board­ walk at The Pines, and the ""Meat Rack' & Tushes' betw. Cherry Grove & The Pines. Seasonal flights are offered by Pellham Airlines, E. 23rd St. Marina, N.Y.C","","Cruising Areas","Cruisy Area","Fire Island","NY",1984,40.66031,-73.089997,"Cruising Areas","TRUE"
"2203","1939","Anywhere and everyplace","from the time you get on the ferry","","Cruising Areas","Cruisy Area","Fire Island","NY",1981,40.66031,-73.089997,"Cruising Areas","TRUE"
"2216","2197","Apartment","(Latins)(Disco)(Sat. only - 3rd floor) (Bronx)","508 Willis Ave.","Bars/Clubs","(D)","Bronx","NY",1981,40.8151171,-73.9182468,"Bars","FALSE"
"2291","2177","Arck Lane","(L - 8pm to 2:30am — Guys 4am - ??) (Richmond Hill)","130-02 Atlantic Ave.","Bars/Clubs","(AH),(L)","Queens","NY",1981,40.6957277,-73.8186944,"Bars","FALSE"
"2299","1956","Area","behind Mr. Chips","","Cruising Areas","Cruisy Area","Lake George","NY",1981,43.426181,-73.712341,"Cruising Areas","TRUE"
"2307","3208","Area behind Mr. Chips","","","Cruising Areas","Cruisy Area","Lake George","NY",1982,43.426181,-73.712341,"Cruising Areas","TRUE"
"2308","3486","Area behind Mr. Chips","","","Cruising Areas","Cruisy Area","Lake George","NY",1983,43.426181,-73.712341,"Cruising Areas","TRUE"
"2309","3549","Area behind Mr. Chips","","","Cruising Areas","Cruisy Area","Lake George","NY",1984,43.426181,-73.712341,"Cruising Areas","TRUE"
