ID2,title,amenityfeatures,description,streetaddress,type,city,state,Year,unclear_address,unclear type or question,notes,Last Modified
25,Quest ,"(C&W),(SM),(*)","(Macho, SM )(C&W )(Cruisy) at 5th Ave. S.",416 24th St. S.,"Bars/Clubs,Cruising Areas",Birmingham,AL,1987,,,,7/13/2022 8:35am
26,Steak'n'Egg ,"(M),(R),(C),(AH)",,1717 10th Ave. S.,Restaurant,Birmingham,AL,1987,,,,1/28/2022 2:49pm
27,The Downtown Bookstore,,, 8th Ave.,Book Store,Birmingham,AL,1987,,,,1/28/2022 2:50pm
28,The Rage ,"(P),(D),(*)",(Disco)(Quiet bar),620 29th St. S.,Bars/Clubs,Birmingham,AL,1987,,,,1/28/2022 2:50pm
29,5th Ave. N.,"Cruisy Area,(AYOR)",nr. Bus Depot,20th St. ,Cruising Areas,Birmingham,AL,1987,checked,,,1/28/2022 2:51pm
30,Rushton Park,Cruisy Area,,,Cruising Areas,Birmingham,AL,1987,checked,,,1/28/2022 2:51pm
31,Western Super Market,Cruisy Area,(Late Sat. nights), 2230 Highland Ave.,Cruising Areas,Birmingham,AL,1987,checked,,,1/28/2022 2:51pm
32,Woodrow Wilson Park ,"Cruisy Area,(AYOR)",(AYOR—'Fuzz'),,Cruising Areas,Birmingham,AL,1987,checked,,,1/28/2022 2:51pm
33,Point Mallard Inn Bar ,(M),,16th & Johnston,Bars/Clubs,Decatur,AL,1987,checked,,,1/28/2022 9:22pm
34,Waffle House ,"(M),(R)",(Open 24 hrs.) ,Hwy. 31 S.,Restaurant,Decatur,AL,1987,checked,,,1/28/2022 9:24pm
35,Amtrak & Greyhound Depots,Cruisy Area,,,Cruising Areas,Decatur,AL,1987,checked,,,1/28/2022 9:27pm
36,Beltline Mall ,Cruisy Area,Castman - Knott Store,,Cruising Areas,Decatur,AL,1987,checked,,,1/28/2022 9:27pm
37,Delano Park,Cruisy Area,Nr. Picnic Tables,,Cruising Areas,Decatur,AL,1987,checked,,,1/28/2022 9:27pm
38,Point Mallard Park ,Cruisy Area,Swimmin Hole (Summers),,Cruising Areas,Decatur,AL,1987,checked,,,1/28/2022 9:27pm
39,The 'Pumps',"Cruisy Area,(AYOR)",(Fuzz - AYOR),,Cruising Areas,Decatur,AL,1987,checked,,,1/28/2022 9:27pm
40,Rodofo's Holiday Inn ,(M),Ross Clark Circle,,Bars/Clubs,Dothan,AL,1987,checked,,,1/28/2022 9:27pm
41,TVA Reservation,Cruisy Area,(Summers),,Cruising Areas,Florence,AL,1987,checked,,,1/28/2022 9:27pm
42,Veterans Park ,Cruisy Area,(Days),,Cruising Areas,Florence,AL,1987,checked,,,1/28/2022 9:27pm
43,Wilson Park ,Cruisy Area,(Nights),,Cruising Areas,Florence,Germania Springs,1987,checked,,,1/28/2022 9:38pm
44,Fat's Showroom & Warehouse ,"(P),(M),(YC),(WE),(S)","(Some M , YC)(WE*)(S-WE)",315 S. 2nd St.,Bars/Clubs,Gasden,• Jacksonville State U.—Bibb Graves H all &,1987,,,,1/28/2022 9:38pm
45,Atlantic ,"(L),(WE)",(WE-only),2572 Sparkman Dr.,Bars/Clubs,Huntsville,AL,1987,,,,1/28/2022 9:38pm
46,Avenue 54 ,(S),,1001 N.W. Memorial Pkwy,Bars/Clubs,Huntsville,AL,1987,,,,1/31/2022 1:11pm
47,Books As Seeds,, (Bookstore) ,202 Andrew Jackson Way,Book Store,Huntsville,AL,1987,,,,1/28/2022 9:38pm
48,Gay Helpline ,,(205) 539-3424,,Hotlines,Huntsville,AL,1987,checked,,,1/28/2022 9:58pm
49,Observation Point ,Cruisy Area,(The Overlook) ,Governors Dr.,Cruising Areas,Huntsville,AL,1987,checked,,,1/28/2022 9:38pm
50,The Mall,Cruisy Area,Upstairs (Days),,Cruising Areas,Huntsville,AL,1987,checked,,,1/28/2022 9:38pm
51,Pizitz Dept. Store ,Cruisy Area,Parkway City Mall,,Cruising Areas,Huntsville,AL,1987,checked,,,1/28/2022 9:38pm
52,Germania Springs,Cruisy Area,,,Cruising Areas,Jacksonville,AL,1987,checked,,,1/28/2022 9:47pm
53,Jacksonville State U.—Bibb Graves Hall,Cruisy Area,,,Cruising Areas,Jacksonville,AL,1987,checked,,,1/28/2022 9:47pm
54,Club Park Avenue ,"(*),(YC),(D),(P)","(Video downstairs, Disco-D-upstairs)(Patio) ",7 S. Joachim,Bars/Clubs,Mobile,AL,1987,,,,3/17/2022 2:15pm
55,Corral ,"(W),(OC),(L)","(Some W, OC, L)(Cruisy)(Late*)",54 S. Conception,"Bars/Clubs,Cruising Areas",Mobile,AL,1987,checked,,,6/30/2022 2:19pm
56,David's ,"(PT),(D),(S),(L),(WE)",(Disco)(Some L)(WE*),1304 Spring Hill Ave.,Bars/Clubs,Mobile,AL,1987,,,,1/28/2022 9:47pm
57,Gay Hotline ,,(205) 476-9142,,Hotlines,Mobile,AL,1987,checked,,,1/28/2022 9:58pm
58,Society Lounge ,"(L),(B)","(L,B) ",53 Conception,Bars/Clubs,Mobile,AL,1987,,,,1/28/2022 9:47pm
59,Troopers ,(D),(Disco),215 Conti St.,Bars/Clubs,Mobile,AL,1987,,,,1/28/2022 9:47pm
60,Bel Air Mall,"Cruisy Area,(AYOR)",Sears ,,Cruising Areas,Mobile,AL,1987,checked,,,1/28/2022 9:47pm
61,MidTown Cinema,"Cruisy Area,(AYOR)",,,Cruising Areas,Mobile,AL,1987,checked,,,1/28/2022 9:47pm
62,Old State Park,Cruisy Area,opp. Holiday Inn—off causeway,,Cruising Areas,Mobile,AL,1987,checked,,,1/28/2022 9:47pm
63,Woolworth's,Cruisy Area,,,Cruising Areas,Mobile,AL,1987,checked,,,1/28/2022 9:47pm
64,BWMT,(BWMT),," Box 603, 36101",Organization,Montgomery,AL,1987,checked,,,1/31/2022 1:11pm
65,Market Street,"(AH),(WE),(P),(E)",(Liquor) (AH-WE*),207 Dexter Ave.,Bars/Clubs,Montgomery,AL,1987,,,,1/28/2022 9:52pm
66,M.C.C.& Gay Help Line ,,(205)264-7887,,"Religious Institution,Hotlines",Montgomery,AL,1987,checked,,,7/13/2022 8:51am
67,Rgee's ,"(P),(D),(PT),(AH)",(Also AH) ,211 Lee St.,Bars/Clubs,Montgomery,AL,1987,,,,1/28/2022 9:52pm
68,Skeeters ,"(D),(L),(AH)",(Some L)(AH—Weekdays*) ,150 Lee St.,Bars/Clubs,Montgomery,AL,1987,,,,1/28/2022 9:52pm
69,Auburn U/Mont.,Cruisy Area,,Bell Rd.,Cruising Areas,Montgomery,AL,1987,checked,,,1/28/2022 9:52pm
70,Block around Post Office,Cruisy Area,,,Cruising Areas,Montgomery,AL,1987,checked,,,1/28/2022 9:52pm
71,Lee St. ,Cruisy Area,betw. Bus Depots & Church St.,,Cruising Areas,Montgomery,AL,1987,checked,,,1/28/2022 9:52pm
72,Selma Mall,Cruisy Area,,Broad St.,Cruising Areas,Selma,AL,1987,checked,,,1/28/2022 9:53pm
73,Chucker's ,"(YC),(M),(PT),(*)",,2121 6th St.,Bars/Clubs,Tuscaloosa,AL,1987,,,,1/28/2022 9:54pm
74,DeJavu ,,,Hwy. 82 S.,Bars/Clubs,Tuscaloosa,AL,1987,checked,,,1/28/2022 9:56pm
75,Bus Station,Cruisy Area,,,Cruising Areas,Tuscaloosa,AL,1987,checked,,,1/28/2022 9:56pm
76,Union 76 Truck Stop ,Cruisy Area,,at I-20 & US 59,Cruising Areas,Tuscaloosa,AL,1987,checked,,,1/28/2022 9:56pm
77,U. of Alabama at Tuscaloosa,Cruisy Area,Ferguson Center ,,Cruising Areas,Tuscaloosa,AL,1987,checked,,,4/12/2022 12:45pm
78,U. of Alabama at Tuscaloosa,Cruisy Area,Old Union Bldg. (2nd floor),,Cruising Areas,Tuscaloosa,AL,1987,checked,,,4/12/2022 12:44pm
79,"Apollo Travel, Inc. ",,,213 W. 6th Ave. #16,Travel Service,Anchorage,AK,1987,,,,1/28/2022 10:00pm
80,D Street Book Mart ,,(Cruisy) ,419 'D' St.,"Book Store,Cruising Areas",Anchorage,AK,1987,,,,1/28/2022 10:05pm
81,Identity & Gay Hot Line ,,(907) 276-3909 or 276-3919,"P.O. Box 4-2791, 99509",Hotlines,Anchorage,AK,1987,checked,,,1/28/2022 10:05pm
82,Jade Room ,"(D),(PT),(*),(R),(S)",(S-Wed)(Adj. liquor store),701 'I' St.,"Bars/Clubs,Restaurant",Anchorage,AK,1987,,,,1/28/2022 10:05pm
83,M.C.C. ,(MCC),,602 W. 10th Ave.,Religious Institution,Anchorage,AK,1987,,,,1/28/2022 10:05pm
84,Raven ,"(*),(D),(PT),(YC),(W),(SM)","(YC, W, SM)(Enter through parking lot on 6th)",618 Gambell ,Bars/Clubs,Anchorage,AK,1987,,,,1/28/2022 10:05pm
85,The Village ,"(YC),(D),(L),(*)",(Disco)(Some L),225 E. 5th Ave.,Bars/Clubs,Anchorage,AK,1987,,,,1/28/2022 10:05pm
86,'C ' St. ,Cruisy Area,,4th Ave.,Cruising Areas,Anchorage,AK,1987,checked,,,1/28/2022 10:05pm
87,Fred Myers Dept. Store,Cruisy Area,,,Cruising Areas,Anchorage,AK,1987,checked,,,1/28/2022 10:05pm
88,Park Strip ,Cruisy Area,,9th St.,Cruising Areas,Anchorage,AK,1987,checked,,,1/28/2022 10:05pm
89,Penney's & Sears Mall,Cruisy Area,,,Cruising Areas,Anchorage,AK,1987,checked,,,1/28/2022 10:06pm
90,Gay Info Line ,,(907) 456-3353,,Hotlines,Fairbanks,AK,1987,checked,,,1/28/2022 10:07pm
91,International Book Store ,(F&S),(F&S)(Cruisy),106 Old Richardson Hwy.,"Book Store,Cruising Areas",Fairbanks,AK,1987,,,,1/31/2022 1:11pm
92,Michael's 500 Club ,"(*),(PT),(D),(W),(SM),(YC),(L)","(Disco)(Some W, SM, YC, L)(Cruisy)(No sign—don't miss it) ",500 1st Ave.,"Bars/Clubs,Cruising Areas",Fairbanks,AK,1987,,,,1/28/2022 10:09pm
93,Out in the North ,,(Publication) ,"Box 60351, Fair., 99706",Publication,Fairbanks,AK,1987,checked,,,7/13/2022 8:52am
94,Bentley Mall,Cruisy Area,,,Cruising Areas,Fairbanks,AK,1987,checked,,,1/28/2022 10:14pm
95,"U. of Alaska, Library Constitution Hall, Gym & Wood Ctr.",Cruisy Area,,,Cruising Areas,Fairbanks,AK,1987,checked,,,1/28/2022 10:14pm
96,"U. of Alaska, Library",Cruisy Area,1st floor,,Cruising Areas,Fairbanks,AK,1987,checked,,,1/28/2022 10:14pm
97,Red Dog Saloon ,"(M),(*)",,175 S. Franklin St.,Bars/Clubs,Juneau,AK,1987,,,,1/28/2022 10:16pm
98,Summit Hotel Bar ,(M),(Rear),455 S. Franklin ,"Bars/Clubs,Hotel",Juneau,AK,1987,,,,7/13/2022 8:39am
99,Merchants Wharf,Cruisy Area,,,Cruising Areas,Juneau,AK,1987,checked,,,1/28/2022 10:16pm
100,Tom Sawyer's,(*),"(Jewelry, gifts, etc.)  ",Front St.,Business,Ketchikan,AK,1987,checked,,,1/28/2022 10:18pm
101,Hitch-hikers ,Cruisy Area,,along Tongass Hwy.,Cruising Areas,Ketchikan,AK,1987,checked,,,1/28/2022 10:18pm
102,Frontier ,Cruisy Area,"No gay bars, but some downtown bars such as Frontier can be cruisy",Main St.,"Cruising Areas,Bars/Clubs",Ketchikan,AK,1987,checked,,,1/28/2022 10:19pm
103,St. Elmo's ,"(M),(W),(PT),(E),(WE)",(E-WE) ,36 Brewery Gulch Ave.,Bars/Clubs,Bisbee,AZ,1987,,,,1/28/2022 10:20pm
104,'Rest Stops' ,Cruisy Area,N on 1-10,,Cruising Areas,Casa Grande,AZ,1987,checked,,,1/28/2022 10:20pm
105,Gay Alliance of Northern Arizona ,,(602) 526-9187,,Organization,Flagstaff,AZ,1987,checked,,,7/13/2022 9:19am
106,Northern Arizona Univ. Library,Cruisy Area,Basement,,Cruising Areas,Flagstaff,AZ,1987,checked,,,1/28/2022 10:22pm
107,Thorp Park ,"Cruisy Area,(WE)",(Sunset & WE),,Cruising Areas,Flagstaff,AZ,1987,checked,,,1/28/2022 10:22pm
108,PX ,Cruisy Area,T-room,,Cruising Areas,Ft. Huachuca,AZ,1987,checked,,,1/28/2022 10:24pm
109,Schoolhouse Disco ,"(M),(D)",Old Schoolhouse Shops at top of Hill,,Bars/Clubs,Jerome,AZ,1987,checked,,,1/28/2022 11:11pm
110,The Library ,"(M),(R)",Old Schoolhouse Shops,,Restaurant,Jerome,AZ,1987,checked,,,1/28/2022 11:11pm
111,London Bridge,Cruisy Area,,,Cruising Areas,Lake Havasu City,AZ,1987,checked,,,1/28/2022 11:11pm
112,Reed & Pioneer Parks,"Cruisy Area,(AYOR)",,,Cruising Areas,Mesa,AZ,1987,checked,,,1/28/2022 11:11pm
113,Tri-City Mall,Cruisy Area,,,Cruising Areas,Mesa,AZ,1987,checked,,,1/28/2022 11:11pm
114,Apollo's ,"(SM),(*)",(Some SM) ,5749 N. 7th St.,Bars/Clubs,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
115,Barney's Books ,,,1421 E. McDowell Rd.,Book Store,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
116,Book Cellars,,"(Books, etc.) ",2103 W. Camelback Rd.,Book Store,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
117,Castle Adult Books ,,(Cruisy) ,5501 E. Washington,"Book Store,Cruising Areas,Erotic Shop",Phoenix,AZ,1987,,,,1/31/2022 1:17pm
118,Cattleman's Exchange ,"(N),(OC)",,138 W. Camelback Rd.,Bars/Clubs,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
119,Charlie's ,"(*),(C&W),(D)",(Square-D)(Cruisy) ,727 W. Camelback,"Bars/Clubs,Cruising Areas",Phoenix,AZ,1987,,,,1/28/2022 11:11pm
120,Club Phoenix Baths ,(P),(East Side—Northbound),1517 S. Black Canyon Rd. ,Bathhouses,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
121,Connection ,"(*),(W),(YC)",(Cruisy)(Some W)(Der Druke-Disco),4211 N. 7th St.,"Bars/Clubs,Cruising Areas",Phoenix,AZ,1987,,,,1/28/2022 11:11pm
122,Cruisin Central ,"(OC),(AYOR)","(Some OC, Hustlers)",1011 N. Central Ave.,Bars/Clubs,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
123,Dignity ,,(602)866-1035,,Religious Institution,Phoenix,AZ,1987,checked,,,1/28/2022 11:11pm
124,Durant's ,"(M),(R)",(Cocktail hour) ,2611 N. Central Ave.,Restaurant,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
125,Erotica Motel & Book Store ,(H),,5200 E. Van Buren,"Book Store,Hotel",Phoenix,AZ,1987,,,,1/28/2022 11:11pm
126,Farrah's ,"(L),(YC),(D)","(Some L, YC)(Disco) ",4158 Grand Ave.,Bars/Clubs,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
127,FirsTravel ,,(Agency) ,5150 N. 7th St.,Travel Service,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
128,Gay/Lesbian Assistance & AIDS Info ,,(602) 234-2752,,Health Clinic,Phoenix,AZ,1987,checked,,,1/28/2022 11:11pm
129,Gay Roommate Service ,,(602) 938-3932,,Business,Phoenix,AZ,1987,checked,,,7/13/2022 9:16am
130,Goog's ,"(M),(R),(AH)",, 1812 E. Camelback Rd.,Restaurant,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
131,Grand Camel ,"(R),(L)",(Some L) ,5105 N. 43rd Ave.,Restaurant,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
132,Hotbods ,"(YC),(AH),(WE),(D),(*)",(AH-WE)(Unisex),3437 E. McDowell Rd.,Bars/Clubs,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
133,"Humanspace Books, Inc. ",,,2401 N. 32nd St. #5,Book Store,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
134,Incognito Lounge ,"(L),(D),(*)",, 2424 E. Thomas Rd.,Bars/Clubs,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
135,Le Taxi ,,264-5496,,Business,Phoenix,AZ,1987,checked,,,1/31/2022 1:10pm
136,Little Jim's 307 ,"(OC),(PT)",(Hustlers) ,222 E. Roosevelt,Bars/Clubs,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
137,M.C.C. ,(MCC),(Casa de Cristo),1029 Turney,Religious Institution,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
138,New Moon,"(L),(D)",(Disco),3108 E. McDowell Rd.,Bars/Clubs,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
139,Nu Towne ,"(PT),(YC)",(Tue.*),5002 E. Van Buren,Bars/Clubs,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
140,Orsinis ,"(M),(R)",,7th St. & McDowell Rd.,Restaurant,Phoenix,AZ,1987,checked,,,1/28/2022 11:11pm
141,P.P.'s ,"(V),(PT)",(S-Sun.*) ,1810 E. McDowell,Bars/Clubs,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
142,P.R. ,,(Publication) ,"P.O. Box 5948, Phoenix 85010",Publication,Phoenix,AZ,1987,checked,,,1/28/2022 11:11pm
143,Raggedy Ann 'n' Andy's ,"(L),(D)","(""Raggs"") (Many L)(Disco)",2320 N. 32nd St.,Bars/Clubs,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
144,Ramrod ,"(PT),(SM),(W)",(Sun. beer bust*)(Patio),395 N. Black Canyon Rd.,Bars/Clubs,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
145,Royal Villa Motel ,,(Pool) ,1102 E. Turney Ave.,Hotel,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
146,Shamoos ,"(S),(WE)",(S-WE) ,3025 N. 24th St.,Bars/Clubs,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
147,Stixx ,,,3015 N. 16th St.,Bars/Clubs,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
148,Taylor's ,"(*),(R),(E)",(DW's R & Nickelodeon-E) ,4223 N. 7th St.,"Restaurant,Bars/Clubs",Phoenix,AZ,1987,,,,1/28/2022 11:11pm
149,Trax ,"(*),(D),(PT),(AH),(WE)",(Macho)(Disco)(AH-WE),1724 E. McDowell,Bars/Clubs,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
150,Tuff Stuff ,,"(Leather, Toys, etc.)",1714 E. McDowell,Erotic Shop,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
151,Universal Escorts ,,(602) 942-1823,,Escorts & Model Services,Phoenix,AZ,1987,checked,,,1/28/2022 11:11pm
152,Western Express ,,(Publication),"P.O. Box 32575, Phoenix 85064",Publication,Phoenix,AZ,1987,checked,,,1/28/2022 11:11pm
153,Women's Center ,,,1634 N. 7th St.,Community Center/Support Group,Phoenix,AZ,1987,,,,7/13/2022 9:24am
154,Central Public Library,Cruisy Area,,,Cruising Areas,Phoenix,AZ,1987,checked,,,1/28/2022 11:11pm
155,Encanto Park,"Cruisy Area,(AYOR)",,,Cruising Areas,Phoenix,AZ,1987,checked,,,1/28/2022 11:11pm
156,'Hitch-hikers',Cruisy Area,,2nd St.,Cruising Areas,Phoenix,AZ,1987,checked,,,1/28/2022 11:11pm
157,Greyhound Park,Cruisy Area,Sundays are cruisy at Park 'n' Swap,,Cruising Areas,Phoenix,AZ,1987,checked,,,1/28/2022 11:11pm
158,Metro Center,Cruisy Area,Shopping Complex—nr. ice rink,,Cruising Areas,Phoenix,AZ,1987,checked,,,1/28/2022 11:11pm
159,Papago Park ,"Cruisy Area,(AYOR)",,,Cruising Areas,Phoenix,AZ,1987,checked,,,1/28/2022 11:11pm
160,J.R.'s Hideaway ,(N),(Fun)(In alley) ,7125 5th Ave.,Bars/Clubs,Scottsdale,AZ,1987,,,,1/28/2022 11:11pm
161,Zorba's Book Shop ,(*),,2924 N. Scottsdale Rd.,Book Store,Scottsdale,AZ,1987,,,,1/28/2022 11:11pm
162,Oak Creek Owl ,"(M),(R)",1/2 mi. S. of 89A ,Ariz. 179,Restaurant,Sedona,AZ,1987,checked,,,1/28/2022 11:11pm
163,Marie's 1st Place ,"(M),(R)",,709 S. Mill Ave.,Restaurant,Tempe,AZ,1987,,,,1/28/2022 11:11pm
164,Modern World Adult Books,,,1812 E. Apache,"Book Store,Erotic Shop",Tempe,AZ,1987,,,,1/28/2022 11:11pm
165,Valley Art Theatre ,(M),,509 S. Mill Ave.,Theatre,Tempe,AZ,1987,,,,1/28/2022 11:11pm
166,A.S.U.,Cruisy Area,Student Union,,Cruising Areas,Tempe,AZ,1987,checked,,,4/12/2022 12:45pm
167,Papago Park ,Cruisy Area,(Southern part),,Cruising Areas,Tempe,AZ,1987,checked,,,1/28/2022 11:11pm
168,'Rest Stop',"Cruisy Area,(AYOR)",,Hwy. 80 N . ,Cruising Areas,Tempe,AZ,1987,checked,,,1/28/2022 11:11pm
169,City Park,Cruisy Area,,,Cruising Areas,Tombstone,AZ,1987,checked,,,1/28/2022 11:11pm
170,Back Pocket ,(*),(Behind Joshua Tree) ,,Bars/Clubs,Tucson,AZ,1987,checked,,,1/28/2022 11:11pm
171,Blue Willow ,"(M),(R)",(R & Gifts) ,2616 N. Campbell,Restaurant,Tucson,AZ,1987,,,,1/28/2022 11:11pm
172,Books Brothers ,(*),,3242 E. Speedway,Book Store,Tucson,AZ,1987,,,,1/28/2022 11:11pm
173,Bookstore Southwest ,,(24 hrs.) ,1400 S. Alvernon,Book Store,Tucson,AZ,1987,,,,1/28/2022 11:11pm
174,Buckaroo Book Store ,(F&S),(Trucker) nr. Craycroft,I-10 ,Book Store,Tucson,AZ,1987,checked,,,1/28/2022 11:11pm
175,Caesar's Book Store ,(F&S),,2540 N. Miracle Mile,"Bars/Clubs,Book Store",Tucson,AZ,1987,,,,7/13/2022 8:42am
176,Congress ,"(M),(OC),(RT)",,311 E. Congress,Bars/Clubs,Tucson,AZ,1987,,,,1/28/2022 11:11pm
177,Dignity ,,(Church) ,"Box 27929, Tucson 85726",Religious Institution,Tucson,AZ,1987,checked,,,1/28/2022 11:11pm
178,El Toreso ,"(M),(R)",(Mexican),231 E 26th St.,Restaurant,Tucson,AZ,1987,,,,4/12/2022 12:45pm
179,Fineline ,(D),(Disco)(May be closing) ,101 W. Drachman,Bars/Clubs,Tucson,AZ,1987,,,,1/28/2022 11:11pm
180,Graduate ,"(D),(*)",,23 W. University,Bars/Clubs,Tucson,AZ,1987,,,,1/28/2022 11:11pm
181,It's Bout Time ,(D),(Disco),616 N. 4th Ave.,Bars/Clubs,Tucson,AZ,1987,,,,1/28/2022 11:11pm
182,Joshua Tree ,"(*),(YC),(D)",(Cruisy)(Disco)('Back Pocket' & patio in rear) ,2921 N. 1st Ave.,"Cruising Areas,Bars/Clubs",Tucson,AZ,1987,,,,1/28/2022 11:11pm
183,M.C.C. ,(MCC),,560 S. Stone Ave.,Religious Institution,Tucson,AZ,1987,,,,1/28/2022 11:11pm
184,Rita's Rendezvous ,"(*),(R),(D)",(Sun. brunch)(Disco),3455 E. Grant Rd.,"Restaurant,Bars/Clubs",Tucson,AZ,1987,,,,1/28/2022 11:11pm
185,Rumorhazzit ,"(V),(D)",(Dynasty) ,2222 N. Stone,Bars/Clubs,Tucson,AZ,1987,,,,1/28/2022 11:11pm
186,Simone's ,"(S),(YC),(L),(WE)","(Some YC, L)(WE*) ",2849 N. 1st Ave.,Bars/Clubs,Tucson,AZ,1987,,,,1/28/2022 11:11pm
187,Speedway Books ,"(F&S),(*)","(off Alvernon, nr. Aviation Hwy.) (Also at Joshua Tree)",3660 E. Speedway ,Book Store,Tucson,AZ,1987,,,,1/28/2022 11:11pm
188,Stables ,(P),(Baths),3820 E. 40th St.,Bathhouses,Tucson,AZ,1987,,,,1/28/2022 11:11pm
189,The Bookstore Southwest ,(F&S),,1400 S. Alvernon,Book Store,Tucson,AZ,1987,,,,1/28/2022 11:14pm
190,The Observer ,,(Publication),"P.O. Box 50733, Tucson, AZ 85703",Publication,Tucson,AZ,1987,checked,,,1/28/2022 11:14pm
191,De Anza Park ,"Cruisy Area,(AYOR)",(Hustlers),,Cruising Areas,Tucson,AZ,1987,checked,,,1/28/2022 11:14pm
192,'Hitch-hikers' ,Cruisy Area,,E. Speedway,Cruising Areas,Tucson,AZ,1987,checked,,,1/28/2022 11:14pm
