ID2,title,streetaddress,description,city,state,amenityfeatures,type,unclear_address,unclear type or question,notes,Year,Last Modified
81,Lariat Saloon,1161 Hancock Rd.,758-9741 9am-1am,Bullhead City,AZ,(NH),Bars,,,,1995,11/29/2022 6:47am
82,Caritas B&B Newtwork,,(312)857-0801,Cave Creek,AZ,,Accommodations,checked,,,1995,11/29/2022 6:48am
83,Mustang B&B,4257 Mustang,646-5929,Cottonwood,AZ,(MW),Accommodations,,,,1995,11/29/2022 6:49am
84,Community Real Estate Referrals,,(800)346-5592 gay realtor at your service,Flagstaff,AZ,,Info Lines & Services,checked,,,1995,11/29/2022 6:50am
85,Flagstaff Lesbian & Gay,,527-3366,Flagstaff,AZ,,Info Lines & Services,checked,,,1995,11/29/2022 6:50am
86,Charlie's,23 N. Leroux,779-1919 11am-1am,Flagstaff,AZ,"(GF),(F)",Bars,,,,1995,11/30/2022 4:48pm
87,"Depot, The",26 San Francisco St.,773-9550 3pm-1am,Flagstaff,AZ,"(GF),(D),(E),(WC)",Bars,,,,1995,11/30/2022 4:49pm
88,Monte Vista Lounge,100 N. San Francisco St.,"779-6971 24hrs, rooms avail., cafe 6am-6pm",Flagstaff,AZ,"(GF),(E)",Bars,,,,1995,11/30/2022 4:50pm
89,Aradia Books,116 W. Cottage,"779-3817, 10:30am-5:30pm, clsd Sun",Flagstaff,AZ,,Bookstores/Retail Shops,,,,1995,11/30/2022 4:51pm
90,Thorp Park,,(AYOR),Flagstaff,AZ,"Cruisy Area,(AYOR)",Cruising Areas,checked,,,1995,11/30/2022 4:51pm
91,Kings Inn Best Western,2930 E. Andy Devine,753-6101,Kingman,AZ,"(GF),(SW)",Accommodations,,,,1995,11/30/2022 4:52pm
92,London Bridge,,(is going down!),Lake Havasu City,AZ,Cruisy Area,Cruising Areas,checked,,,1995,11/30/2022 4:53pm
93,Executive Tour Associates,"PO Box 42151, 85274-2151",898-0098/(800)382-1113,Mesa,AZ,(IGTA),Travel/Tour Operators,checked,,,1995,11/30/2022 4:54pm
94,Castle Boutique,8315 E. Apache Trail,"986-6114, 24hrs",Mesa,AZ,,Erotica,,,,1995,11/30/2022 4:54pm
95,Reed & Pioneer Park,,(AYOR),Mesa,AZ,"Cruisy Area,(AYOR)",Cruising Areas,checked,,,1995,11/30/2022 4:55pm
96,Camelback Business & Professional Assoc.,"PO Box 2097, 85001",225-8444,Phoenix,AZ,,Info Lines & Services,checked,,,1995,11/30/2022 4:57pm
97,Community Real Estate Referrals,,(800)346-5592 gay realtor at your service,Phoenix,AZ,,Info Lines & Services,checked,,,1995,11/30/2022 4:58pm
98,Gay Helpline,,"265-1102, 7pm-midnight Tues-Sat",Phoenix,AZ,,Info Lines & Services,checked,,,1995,11/30/2022 4:58pm
99,Lambda Club,2940 E. Thomas Rd.,"(set back off Thomas) 264-1341 (AA#) noon, 6pm, 8pm",Phoenix,AZ,,Info Lines & Services,,,,1995,11/30/2022 4:59pm
100,Lesbian/Gay Switchboard,,"234-2752/0873 (TDD), 10am-10pm",Phoenix,AZ,,Info Lines & Services,checked,,,1995,11/30/2022 5:01pm
101,Arizona Royal Villa Apts.,1102 E. Turney Ave.,"266-6883 spa, courtyard, great location",Phoenix,AZ,"(MW),(SW)",Accommodations,,,,1995,11/30/2022 5:02pm
102,Arizona Sunburst Inn,6245 N. 12th Pl.,"274-1474 hot tub, patio",Phoenix,AZ,"MO,(SW),(N)",Accommodations,,,,1995,11/30/2022 5:03pm
103,Larry's Bed & Breakfast,502 W. Claremont Ave.,"249-2974 full brkfst, hot tub",Phoenix,AZ,"(MW),(SW),(N)",Accommodations,,,,1995,11/30/2022 5:07pm
104,Private Resort Inn,"PO Box 41624, 85080",582-3868 deluxe resort,Phoenix,AZ,"(MW),(SW),(WC),(IGTA)",Accommodations,checked,,,1995,11/30/2022 5:08pm
105,307 Lounge,222 E. Roosevelt,"252-0001 6am-1am, Sun brunch",Phoenix,AZ,"(MW),(S),(WC)",Bars,,,,1995,11/30/2022 5:08pm
106,Apollo's,5749 N. 7th St.,"277-9373 8am-1am, popular happy hour",Phoenix,AZ,"(*),(WC)",Bars,,,,1995,11/30/2022 5:09pm
107,Bobby's,1810 E. McDowell Rd.,258-9477 9am-1am,Phoenix,AZ,"(D),(MRC),(S),(V),(WC)",Bars,,,,1995,11/30/2022 5:10pm
108,BULC the Club,3437 E. Mc Dowell,"231-0123 4pm-1am, from 7pm Fri-Sat",Phoenix,AZ,"(*),(D),(A)",Bars,,,,1995,11/30/2022 5:11pm
109,Bum Steer,4620 N. 7th Ave.,"279-3033 5pm-1am, til 3am Fri-Sat, patio, Copperstate Leathermen home bar; also leather shop 10pm-1am Wed-Sun",Phoenix,AZ,"(*),(L)",Bars,,,,1995,11/30/2022 5:12pm
110,Cash Inn,2140 E. McDowell Rd.,"244-9943 2pm-1am, lessons 7pm Wed-Th & Sun",Phoenix,AZ,"(MW),(D),(CW)",Bars,,,,1995,11/30/2022 5:13pm
111,Cattleman's Exchange,138 W. Camelback Rd.,266-0875 10am-1am; also Hayloft bar upstairs,Phoenix,AZ,"(OC),(WC)",Bars,,,,1995,11/30/2022 5:14pm
112,Charlie's,727 W. Camelback Rd.,"265-0224 noon-1am, Sun Brunch, patio, volleyball",Phoenix,AZ,"(D),(CW),D,(WC)",Bars,,,"""D"" listed twice under Amenity Features.",1995,11/30/2022 5:16pm
113,Country Club Bar & Grill,4428 N. 7th Ave.,"264-4553 11am-1am, patio",Phoenix,AZ,"(D),(CW),(F),(WC)",Bars,,,,1995,11/30/2022 5:17pm
114,Cruisin' Central,1011 N. Central Ave.,253-3376 7am-1am,Phoenix,AZ,"(S),(OC),(H),(WC)",Bars,,,,1995,11/30/2022 5:18pm
115,Foster's,4343 N. 7th Ave.,263-8313 4pm-1am,Phoenix,AZ,"(MW),D,(YC)",Bars,,,,1995,11/30/2022 5:19pm
116,Harley's,155 W. Camelback Rd.,274-8505 1pm-1am; also The Cell in back,Phoenix,AZ,"(MW),D,(L)",Bars,,,,1995,11/30/2022 5:20pm
117,J.C.'s Fun One Lounge,"5542 N. 43rd Ave., Glendale",939-0528 11am-1am,Phoenix,AZ,"(MW),D,(WC)",Bars,,,,1995,11/30/2022 5:21pm
118,Marly's,15615 N. Cave Creek Rd.,867-2463 3pm-1am,Phoenix,AZ,"(MW),D,(CW),(E)",Bars,,,,1995,11/30/2022 5:21pm
119,Nu Towne,5002 E. Van Buren,"267-9959 10am-1am, popular Sun & Tues",Phoenix,AZ,"(YC),(WC)",Bars,,,,1995,11/30/2022 5:22pm
120,"Pump House, The",4132 E. McDowell Rd.,275-3509 1pm-1am,Phoenix,AZ,(NH),Bars,,,,1995,11/30/2022 5:23pm
121,'Roun' Back,2107 W. Camelback,242-6077 6am-1am,Phoenix,AZ,(NH),Bars,,,,1995,11/30/2022 5:23pm
122,Trax,1724 E. McDowell,"254-0231 2pm-1am, til 3am Fri-Sat",Phoenix,AZ,"(*),D,(A),(L),(YC),(WC)",Bars,,,,1995,11/30/2022 5:24pm
123,Winks,5707 N. 7th St.,"265-9002 11am-1am, patio bar, lunch & Sun Brunch",Phoenix,AZ,"(*),(MW),(E),(F)",Bars,,,,1995,11/30/2022 5:25pm
124,Evita's,1906 E. Camelback Rd.,"263-8482 5pm-10pm, Argentinian",Phoenix,AZ,"(E),(WC)",Restaurants & Cafes,,,,1995,11/30/2022 5:26pm
125,Livia's,4221 N. 7th Ave.,"266-7144, 5pm-10pm, Italian",Phoenix,AZ,,Restaurants & Cafes,,,,1995,11/30/2022 5:27pm
126,Top of Central,8525 N. Central Ave.,"861-2438, 11am-midnight, clsd Sun, cont'l, come veggie",Phoenix,AZ,,Restaurants & Cafes,,,,1995,11/30/2022 5:28pm
127,"Short Skirt, The",33 W. Camelback Rd.,"235-9610, 11am-7pm leather, wigs, lingerie, shoes up to size 14",Phoenix,AZ,,Bookstores/Retail Shops,,,,1995,11/30/2022 5:28pm
128,Snowgoose,119 Park Central Mall,"230-1224, 10am-7pm, contemporary boutique",Phoenix,AZ,,Bookstores/Retail Shops,,,,1995,11/30/2022 5:29pm
129,Tuff Stuff,1714 E. McDowell Rd.,"254-9651 leather shop 10am-6pm, til 4pm Sat, clsd Sun-Mon",Phoenix,AZ,,Bookstores/Retail Shops,,,,1995,11/30/2022 5:30pm
130,Arizona Office of Tourism,,542-8687,Phoenix,AZ,,Travel/Tour Operators,checked,,,1995,11/30/2022 5:31pm
131,"FirsTravel, Ltd.",5150 N. 7th St.,265-0666/ (800)669-8885,Phoenix,AZ,(IGTA),Travel/Tour Operators,,,,1995,11/30/2022 5:31pm
132,TGI Travel Agency,"5540 W. Glendale Ave. #A102, Glendale",939-1445,Phoenix,AZ,(IGTA),Travel/Tour Operators,,,,1995,11/30/2022 5:32pm
133,Travel at the Foothills,4802 E. Ray Rd. Ste. 17,893-0203/ (800)228-9154,Phoenix,AZ,(IGTA),Travel/Tour Operators,,,,1995,11/30/2022 5:33pm
134,Travel Registry,3819 N. 3rd St.,263-7761,Phoenix,AZ,(IGTA),Travel/Tour Operators,,,,1995,11/30/2022 5:34pm
135,Echo Magazine,"PO Box 1808, 85001",266-0550,Phoenix,AZ,,Publications,checked,,,1995,11/30/2022 5:34pm
136,Western Express,"PO Box 5950, 85010",254-1324,Phoenix,AZ,,Publications,checked,,,1995,11/30/2022 5:35pm
137,Fantasyland,2922 E. Van Buren,"267-7898 24hrs, rooms avail., for all genders",Phoenix,AZ,"MO,(PC)",Men's Clubs,,,,1995,11/30/2022 5:36pm
138,Flex Complex,1517 S. Black Canyon Hwy.,271-9011 also Durango's bar 10am-1am,Phoenix,AZ,"(PC),(SW)",Men's Clubs,,,,1995,11/30/2022 5:37pm
139,"Barn, The",5021 W. Indian School Rd.,"245-3008, 24hrs",Phoenix,AZ,,Erotica,,,,1995,11/30/2022 5:37pm
140,Book Cellar #2,2103 W. Camelback Rd.,"249-9788, 24hrs",Phoenix,AZ,,Erotica,,,,1995,11/30/2022 5:38pm
141,Castle Boutique,300 E. Camelback,"266-3348, 24hrs",Phoenix,AZ,,Erotica,,,,1995,11/30/2022 5:38pm
142,Castle Boutique,5501 E. Washington,"231-9837, 24hrs",Phoenix,AZ,,Erotica,,,,1995,11/30/2022 5:39pm
143,Castle Boutique,8802 N. Black Canyon Frwy.,"995-1641, 24hrs",Phoenix,AZ,,Erotica,,,,1995,11/30/2022 5:39pm
144,International Bookstore,3640 E. Thomas Rd.,"955-2000, 24hrs",Phoenix,AZ,,Erotica,,,,1995,11/30/2022 5:40pm
145,Modern World,"1812 E. Apache, Tempe","967-9052, 24hrs",Phoenix,AZ,,Erotica,,,,1995,11/30/2022 5:40pm
146,Pleasure Palace,1524 E. Van Buren,262-9942,Phoenix,AZ,,Erotica,,,,1995,11/30/2022 5:41pm
147,BS West,7125 5th Ave.,"(pedestrian mall) 945-9028 1pm-1am, Sun BBQ",Scottsdale,AZ,"(MW),D,(V),(WC)",Bars,,,,1995,11/30/2022 5:42pm
148,"Works, The",7223 E. 2nd St.,"946-4141 8pm-3am, techno/tribal Th",Scottsdale,AZ,"D,(V),(YC),(WC)",Bars,,,,1995,11/30/2022 5:43pm
149,Poisoned Pen,7100 E. Main,"947-2974, 10am-6pm, til 9pm Th, noon-5pm Sun, mystery titles",Scottsdale,AZ,,Bookstores/Retail Shops,,,,1995,11/30/2022 5:44pm
150,Dolphin Travel Services,10632B N. Scottsdale Rd.,998-9191/(800)847-2835,Scottsdale,AZ,(IGTA),Travel/Tour Operators,,,,1995,11/30/2022 5:45pm
151,Hot Air Affair,"PO Box 6253, 85261",991-0738 hot air balloon trips,Scottsdale,AZ,(IGTA),Travel/Tour Operators,checked,,,1995,11/30/2022 5:46pm
152,Zorba's Adult Book Shop,2924 N. Scottsdale,"941-9891, 24hrs",Scottsdale,AZ,,Erotica,,,,1995,11/30/2022 5:46pm
153,Sacred Sedona,,204-2422 2rms,Sedona,AZ,(MW),Accommodations,checked,,,1995,11/30/2022 5:49pm
154,Triple H Resort,735 Dry Creek Rd.,204-1569 studio apt,Sedona,AZ,(GF),Accommodations,,,,1995,11/30/2022 5:50pm
155,Park,,at Red Rock Crossing (way back),Sedona,AZ,Cruisy Area,Cruising Areas,checked,,,1995,11/30/2022 5:51pm
156,Changing Hands,414 S. Mill,"966-0203, 10am-9pm, noon-5pm Sun bookstore",Tempe,AZ,,Bookstores/Retail Shops,,,,1995,11/30/2022 5:51pm
157,Papago Park,,southern part (AYOR),Tempe,AZ,"Cruisy Area,(AYOR)",Cruising Areas,checked,,,1995,11/30/2022 5:52pm
158,West side of Mill Ave.,,(by the Coffee Plantation)  (AYOR),Temecula,AZ,"Cruisy Area,(AYOR)",Cruising Areas,checked,,,1995,11/30/2022 5:53pm
159,City Park,,(AYOR),Tombstone,AZ,"Cruisy Area,(AYOR)",Cruising Areas,checked,,,1995,12/3/2022 3:51am
160,AA Gay/Lesbian,,"624-4183 (AA#) 8pm Mon, Th-Fri",Tucson,AZ,,Info Lines & Services,checked,,,1995,12/3/2022 3:52am
161,Community Real Estate Referrals,,(800)346-5592 gay realtor at your service,Tucson,AZ,,Info Lines & Services,checked,,,1995,12/3/2022 3:52am
162,Wingspan Community Center,422 N. 4th Ave.,624-1779 lesbigay info & referrals,Tucson,AZ,,Info Lines & Services,,,,1995,12/3/2022 3:53am
163,Casa Alegre Inn,316 E. Speedway,"628-1800 full brkfst, hot tub, nr. shopping",Tucson,AZ,"(GF),(SW)",Accommodations,,,,1995,12/3/2022 3:54am
164,Hotel Congress,311 E. Congress,622-8848/(800)722-8848,Tucson,AZ,"(GF),(F)",Accommodations,,,,1995,12/3/2022 3:55am
165,Natural B&B,3150 E. Presidio Rd.,"881-4582 full brkfst, massage avail",Tucson,AZ,(MW),Accommodations,,,,1995,12/3/2022 3:56am
166,"Sun Catch B&B, The",105 N. Avenida Javalina,"885-0883 4 acres, hot tub, full brkfst",Tucson,AZ,"(MW),(SW),(N),(WC)",Accommodations,,,,1995,12/3/2022 3:58am
167,Tortuga Roja Bed & Breakfast,2800 E. River Rd.,577-6822 jacuzzi,Tucson,AZ,"(MW),(SW),(N),(IGTA)",Accommodations,,,,1995,12/3/2022 3:59am
168,Club 2520,2520 N. Oracle,"882-5799 3pm-1am, from noon wknds, disco & CW bars, quiet lounge",Tucson,AZ,"(MW),D,(WC)",Bars,,,,1995,12/3/2022 4:01am
169,Congress Tap Room,,(inside Hotel Congress) 11am-1am,Tucson,AZ,"(GF),(NH),(OC)",Bars,checked,,,1995,12/3/2022 4:03am
170,Graduate,23 W. University Ave.,"622-9233 11am-1am, cruisy",Tucson,AZ,(*),"Bars,Cruising Areas",,,,1995,12/3/2022 4:17am
171,Hours,3455 E. Grant Rd.,"327-3390 noon-1am, CW Th",Tucson,AZ,"(MW),(NH),D",Bars,,,,1995,12/3/2022 4:05am
